SNR, Throughput
-6, 0
-5.5, 0.00333333
-5, 0.064078
-4.5, 0.255733
-4, 0.352906
-3.5, 0.362332
-3, 0.36278
-2.5, 0.36278
-2, 0.36278
-1.5, 0.36278
-1, 0.36278
-0.5, 0.36278
0, 0.36278
0.5, 0.36278
1, 0.36278
1.5, 0.36278
2, 0.36278
2.5, 0.36278
3, 0.36278
