SNR,Throught
-5, 0.00403636
-4.5, 0.0472576
-4, 0.172028
-3.5, 0.300271
-3, 0.350048
-2.5, 0.363788
-2, 0.372788
-1.5, 0.384004
-1, 0.387972
-0.5, 0.392096
0, 0.394056
0.5, 0.394625
1, 0.394822
1.5, 0.394756
2, 0.394822
