Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,551,693
2,734,710
4,578,716
5,27,728
6,445,738
7,650,759
8,523,840
9,371,875
11,945,876
13,836,908
14,856,977
15,369,981
