Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,710,945
2,761,963
3,294,964
4,681,965
5,656,966
6,185,968
7,144,970
8,507,972
9,976,974
10,357,975
11,590,1007
12,244,1008
13,758,1014
14,275,1015
15,515,1017
16,701,1018
