Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, BER_it_50, BER_it_51, BER_it_52, BER_it_53, BER_it_54, BER_it_55, BER_it_56, BER_it_57, BER_it_58, BER_it_59, BER_it_60, BER_it_61, BER_it_62, BER_it_63, BER_it_64, BER_it_65, BER_it_66, BER_it_67, BER_it_68, BER_it_69, BER_it_70, BER_it_71, BER_it_72, BER_it_73, BER_it_74, BER_it_75, BER_it_76, BER_it_77, BER_it_78, BER_it_79, BER_it_80, BER_it_81, BER_it_82, BER_it_83, BER_it_84, BER_it_85, BER_it_86, BER_it_87, BER_it_88, BER_it_89, BER_it_90, BER_it_91, BER_it_92, BER_it_93, BER_it_94, BER_it_95, BER_it_96, BER_it_97, BER_it_98, BER_it_99, BER_it_100, BER_it_101, BER_it_102, BER_it_103, BER_it_104, BER_it_105, BER_it_106, BER_it_107, BER_it_108, BER_it_109, BER_it_110, BER_it_111, BER_it_112, BER_it_113, BER_it_114, BER_it_115, BER_it_116, BER_it_117, BER_it_118, BER_it_119, BER_it_120, BER_it_121, BER_it_122, BER_it_123, BER_it_124, BER_it_125, BER_it_126, BER_it_127, BER_it_128, BER_it_129, BER_it_130, BER_it_131, BER_it_132, BER_it_133, BER_it_134, BER_it_135, BER_it_136, BER_it_137, BER_it_138, BER_it_139, BER_it_140, BER_it_141, BER_it_142, BER_it_143, BER_it_144, BER_it_145, BER_it_146, BER_it_147, BER_it_148, BER_it_149, BER_it_150, BER_it_151, BER_it_152, BER_it_153, BER_it_154, BER_it_155, BER_it_156, BER_it_157, BER_it_158, BER_it_159, BER_it_160, BER_it_161, BER_it_162, BER_it_163, BER_it_164, BER_it_165, BER_it_166, BER_it_167, BER_it_168, BER_it_169, BER_it_170, BER_it_171, BER_it_172, BER_it_173, BER_it_174, BER_it_175, BER_it_176, BER_it_177, BER_it_178, BER_it_179, BER_it_180, BER_it_181, BER_it_182, BER_it_183, BER_it_184, BER_it_185, BER_it_186, BER_it_187, BER_it_188, BER_it_189, BER_it_190, BER_it_191, BER_it_192, BER_it_193, BER_it_194, BER_it_195, BER_it_196, BER_it_197, BER_it_198, BER_it_199, 
1, 0.271919, 0.338151, 0.338151, 0.338151, 0.338151, 0.338151, 0.338151, 0.338151, 0.337397, 0.326557, 0.305829, 0.275889, 0.246744, 0.218035, 0.188652, 0.16717, 0.151485, 0.138183, 0.125556, 0.117098, 0.110626, 0.105384, 0.10185, 0.0993885, 0.0937103, 0.0920426, 0.0901366, 0.089541, 0.0873968, 0.0855702, 0.0845775, 0.0830289, 0.0816788, 0.080845, 0.0804082, 0.0810435, 0.0796537, 0.0788596, 0.0782243, 0.0786213, 0.0767948, 0.076358, 0.0761595, 0.0748888, 0.0752859, 0.0750079, 0.073777, 0.0742932, 0.0741344, 0.0736976, 0.0741344, 0.0738564, 0.0743726, 0.0738167, 0.0739755, 0.0725858, 0.0726652, 0.073499, 0.073777, 0.0728637, 0.0722681, 0.0719107, 0.0727446, 0.0719902, 0.0719902, 0.0724269, 0.0725461, 0.0723872, 0.0717916, 0.071196, 0.071474, 0.0718313, 0.0708783, 0.0710769, 0.0708783, 0.0709975, 0.0714342, 0.0707592, 0.0707195, 0.0704813, 0.070243, 0.0703224, 0.0709578, 0.0708386, 0.0706798, 0.0707592, 0.0708783, 0.0702033, 0.0702033, 0.0698062, 0.0705607, 0.0705607, 0.0710769, 0.0702033, 0.0700048, 0.0702033, 0.0708783, 0.070521, 0.0696474, 0.0693694, 0.06929, 0.0631353, 0.0619441, 0.0602367, 0.0611102, 0.0602367, 0.0598793, 0.0623015, 0.0607132, 0.0599984, 0.0611896, 0.0604749, 0.0590454, 0.0610705, 0.0601175, 0.060872, 0.0603558, 0.0606337, 0.0597602, 0.0605146, 0.0603161, 0.0597602, 0.0603161, 0.0604352, 0.059244, 0.0595616, 0.0604749, 0.0598396, 0.0594028, 0.0594425, 0.0597205, 0.0591248, 0.0592837, 0.0586881, 0.0588072, 0.0586483, 0.0586881, 0.0589263, 0.0581321, 0.0582116, 0.0576557, 0.0586086, 0.0598793, 0.0590851, 0.0582513, 0.0575365, 0.0582116, 0.0580924, 0.0580924, 0.0582513, 0.0572983, 0.0579733, 0.0570997, 0.0562262, 0.0572983, 0.0583704, 0.0581719, 0.0572189, 0.0585292, 0.0576159, 0.0572983, 0.058291, 0.0577748, 0.0574571, 0.0581321, 0.0572983, 0.0578939, 0.057338, 0.0568615, 0.057338, 0.0574174, 0.056663, 0.0570203, 0.0574174, 0.0582513, 0.0570203, 0.0569409, 0.0572189, 0.0576557, 0.0568218, 0.057338, 0.0586483, 0.0580527, 0.0579336, 0.0576557, 0.0570997, 0.057338, 0.0578542, 0.057338, 0.0567424, 0.0581321, 0.0576159, 0.0582116, 0.0575365, 0.0576557, 0.0578542, 0.0565835, 0.0577351, 0.0564644, 0.0564644, 0.0572586, 
1.25, 0.213058, 0.338018, 0.338018, 0.338018, 0.338018, 0.338018, 0.338018, 0.337146, 0.329239, 0.303855, 0.263611, 0.219784, 0.181419, 0.148464, 0.124705, 0.106529, 0.0938842, 0.0847025, 0.0787291, 0.0727959, 0.0686748, 0.0661244, 0.0638021, 0.061802, 0.059869, 0.0584192, 0.057238, 0.0568487, 0.0555735, 0.054862, 0.0538284, 0.0533049, 0.053627, 0.0526605, 0.0529156, 0.052325, 0.0517612, 0.0513048, 0.0511571, 0.0509155, 0.0506604, 0.0504859, 0.0503785, 0.0500966, 0.0499221, 0.0496805, 0.0493449, 0.0489556, 0.0487677, 0.0492375, 0.0490496, 0.0489556, 0.0485932, 0.0487006, 0.0480697, 0.0484053, 0.0482979, 0.0485261, 0.0481905, 0.047922, 0.0478952, 0.0475328, 0.0478415, 0.0481502, 0.047922, 0.0472911, 0.0473314, 0.0471569, 0.0477073, 0.0474388, 0.0474925, 0.0471703, 0.0466468, 0.046969, 0.0474388, 0.0469824, 0.0469958, 0.0472911, 0.0468884, 0.0468213, 0.0468616, 0.0469018, 0.0468079, 0.0466871, 0.04662, 0.0464723, 0.0467273, 0.0464589, 0.0466065, 0.0464589, 0.0464723, 0.0464723, 0.0468213, 0.0465931, 0.0461233, 0.0459756, 0.0463783, 0.0461367, 0.046432, 0.0459219, 0.0460562, 0.0438144, 0.0437473, 0.043452, 0.0434654, 0.0423513, 0.0429419, 0.0427808, 0.0429285, 0.0423647, 0.0437205, 0.0432641, 0.0425526, 0.0429151, 0.0430493, 0.0426063, 0.0433715, 0.0428748, 0.0422841, 0.0426332, 0.0430627, 0.0427942, 0.0429956, 0.0426466, 0.0426063, 0.0423781, 0.0427003, 0.0430761, 0.0427003, 0.0423244, 0.04266, 0.0424184, 0.0425795, 0.0429688, 0.0430359, 0.0423781, 0.0420962, 0.0422976, 0.0424855, 0.0424318, 0.0429016, 0.0427137, 0.0424989, 0.0423915, 0.0427003, 0.0424855, 0.0423915, 0.042217, 0.0421499, 0.0428345, 0.0425392, 0.0426466, 0.0424184, 0.0422305, 0.0420157, 0.0420559, 0.0421499, 0.0420694, 0.0426332, 0.0424721, 0.0417741, 0.0422036, 0.0419486, 0.0419486, 0.0418546, 0.041868, 0.0420157, 0.0429016, 0.0417741, 0.0412505, 0.0422036, 0.0423647, 0.042566, 0.0419888, 0.0420291, 0.0420694, 0.0422036, 0.0418949, 0.041868, 0.0416935, 0.0420425, 0.0420828, 0.0421902, 0.0420962, 0.0418949, 0.0419217, 0.0420559, 0.041962, 0.0416532, 0.0420425, 0.0422841, 0.0424452, 0.0420291, 0.0417741, 0.042217, 0.0422841, 0.0421231, 0.0422841, 0.0417875, 0.0418143, 0.0422573, 
1.5, 0.179719, 0.333003, 0.333003, 0.333003, 0.333003, 0.333003, 0.332982, 0.33044, 0.308577, 0.259026, 0.203428, 0.154271, 0.118554, 0.0947758, 0.0786208, 0.068484, 0.0608302, 0.0556625, 0.051758, 0.0485208, 0.0465251, 0.0452308, 0.04371, 0.0430178, 0.0422884, 0.041466, 0.0407738, 0.0408483, 0.0401655, 0.040001, 0.0399327, 0.0396379, 0.0393678, 0.0396565, 0.0390326, 0.0389519, 0.0387533, 0.038716, 0.038654, 0.0387223, 0.0382722, 0.0384026, 0.0384833, 0.0379774, 0.037608, 0.037968, 0.0376794, 0.037667, 0.0373752, 0.0374497, 0.0372852, 0.0376639, 0.0371983, 0.0372014, 0.0369748, 0.0369345, 0.0367452, 0.037189, 0.0368072, 0.0369159, 0.0366334, 0.0367203, 0.0365652, 0.0365, 0.0365248, 0.0367141, 0.0364751, 0.0364907, 0.0361524, 0.0365, 0.0363386, 0.036441, 0.0361275, 0.036202, 0.0361834, 0.0363851, 0.0361244, 0.0361648, 0.0361399, 0.0362206, 0.0358389, 0.0360996, 0.0360499, 0.036171, 0.036053, 0.0359661, 0.0357799, 0.0361741, 0.0356775, 0.0358389, 0.0358047, 0.0360313, 0.0358792, 0.0359692, 0.0356216, 0.0357116, 0.0354664, 0.0358172, 0.035724, 0.0360561, 0.0356371, 0.0350381, 0.0348767, 0.0348177, 0.0346626, 0.0351002, 0.0348146, 0.034824, 0.0346533, 0.0347588, 0.0345291, 0.0349078, 0.0348426, 0.0345974, 0.034765, 0.0347464, 0.0344701, 0.0349015, 0.0345912, 0.0345136, 0.0346501, 0.0348457, 0.0347371, 0.0347308, 0.0344143, 0.0346501, 0.0342963, 0.0346346, 0.034405, 0.0346253, 0.0345446, 0.0343398, 0.0343336, 0.0346315, 0.0345446, 0.0345198, 0.0343584, 0.0346346, 0.0341939, 0.0345198, 0.0343925, 0.0345912, 0.0346998, 0.0344329, 0.034166, 0.0344081, 0.0342808, 0.0346905, 0.0343956, 0.0343832, 0.0342932, 0.0344546, 0.0343367, 0.0345198, 0.0342125, 0.0345881, 0.0344484, 0.0342405, 0.0341784, 0.0345943, 0.0344329, 0.0342498, 0.0342498, 0.0345446, 0.0343305, 0.0344981, 0.0341442, 0.0343367, 0.0342249, 0.0345353, 0.0342746, 0.0343832, 0.0342591, 0.0340977, 0.034256, 0.0342746, 0.0341039, 0.0344763, 0.0342156, 0.0344081, 0.0339518, 0.0343553, 0.0341287, 0.0344763, 0.0343274, 0.0345167, 0.0343087, 0.034287, 0.0338246, 0.0343367, 0.034287, 0.0343087, 0.034197, 0.0342746, 0.0339301, 0.0343894, 0.0341473, 0.0343118, 0.0341163, 0.0343429, 0.0341939, 
1.75, 0.146046, 0.329627, 0.329627, 0.329627, 0.329627, 0.329627, 0.32937, 0.317946, 0.268266, 0.196909, 0.13712, 0.0970145, 0.0722308, 0.057585, 0.048967, 0.0436585, 0.0400208, 0.0374553, 0.0357345, 0.0348397, 0.0340507, 0.0334346, 0.0328135, 0.0325059, 0.0321696, 0.0318904, 0.0315859, 0.0313193, 0.0312171, 0.0309819, 0.0308347, 0.0306491, 0.0306066, 0.0304048, 0.030291, 0.0302101, 0.0300239, 0.0301195, 0.0300001, 0.0298605, 0.0297584, 0.0297654, 0.0296329, 0.0297553, 0.0296562, 0.0295732, 0.0294635, 0.0294655, 0.0293522, 0.0294286, 0.0293684, 0.029289, 0.0292566, 0.0292222, 0.0290629, 0.0292237, 0.0291944, 0.0291443, 0.0289946, 0.029117, 0.0289137, 0.0289794, 0.0289794, 0.0288747, 0.0289354, 0.0289177, 0.0287306, 0.028897, 0.028901, 0.0288125, 0.028728, 0.0287852, 0.0286891, 0.0287604, 0.0287558, 0.0287462, 0.0286506, 0.0286542, 0.0286375, 0.0286289, 0.0286031, 0.0286334, 0.0285464, 0.0286228, 0.0285505, 0.0285475, 0.0285024, 0.0285353, 0.0286071, 0.0286066, 0.0283699, 0.0285055, 0.0285712, 0.0285662, 0.028504, 0.0284534, 0.028337, 0.028417, 0.0284362, 0.0285378, 0.0284023, 0.0282854, 0.0281969, 0.0283755, 0.0282389, 0.0282834, 0.0282081, 0.0282227, 0.0281863, 0.0282602, 0.0281463, 0.0282055, 0.0280882, 0.0281752, 0.0281094, 0.028251, 0.0281281, 0.0281125, 0.0281074, 0.0281089, 0.0281721, 0.0282859, 0.0281312, 0.0280968, 0.0280128, 0.0280341, 0.028069, 0.0282096, 0.0281393, 0.0280654, 0.0280452, 0.0281357, 0.0280118, 0.0280887, 0.0280897, 0.0281595, 0.0280335, 0.0280148, 0.0280442, 0.0280705, 0.0280214, 0.0280639, 0.0279895, 0.0280244, 0.0280032, 0.0280669, 0.0280295, 0.0280593, 0.0279648, 0.0279511, 0.0279172, 0.0279992, 0.0280184, 0.0279723, 0.0279992, 0.0280492, 0.0278646, 0.0279369, 0.0279395, 0.0279809, 0.0279445, 0.028032, 0.0279809, 0.0280507, 0.0279137, 0.0279182, 0.0278383, 0.0279465, 0.0279678, 0.027982, 0.0279278, 0.0278965, 0.0278762, 0.0278985, 0.0278752, 0.0279349, 0.027987, 0.0280341, 0.0278884, 0.0279025, 0.0278798, 0.0278914, 0.0279091, 0.0280002, 0.027899, 0.0278075, 0.0277953, 0.0279369, 0.0279501, 0.0279562, 0.0278292, 0.0278449, 0.0278236, 0.0279122, 0.0278211, 0.027899, 0.0278176, 0.0278757, 0.0278343, 0.0278864, 0.0278075, 
2, 0.120648, 0.32603, 0.32603, 0.32603, 0.32603, 0.326028, 0.324417, 0.292589, 0.211431, 0.1346, 0.0859834, 0.0593292, 0.0454287, 0.0384434, 0.0343364, 0.0317667, 0.0299398, 0.0288385, 0.028155, 0.0278862, 0.0274867, 0.0271225, 0.0267034, 0.0265348, 0.0262416, 0.0261621, 0.025949, 0.0259122, 0.0256701, 0.0255664, 0.0254161, 0.0254169, 0.025264, 0.0252537, 0.0250614, 0.0250657, 0.0249823, 0.0249539, 0.0248226, 0.02481, 0.0246828, 0.0246823, 0.0246264, 0.0246788, 0.0245326, 0.0245046, 0.0244276, 0.0244426, 0.0243634, 0.0244178, 0.0243113, 0.0243213, 0.0242538, 0.0242305, 0.0241664, 0.0242598, 0.0242215, 0.02416, 0.0240858, 0.0241275, 0.0240215, 0.0240901, 0.0240484, 0.0240815, 0.0239543, 0.0239598, 0.0238962, 0.0240267, 0.023941, 0.0239418, 0.0238563, 0.0239208, 0.0238375, 0.0239033, 0.0238499, 0.0238531, 0.0237613, 0.0238099, 0.0237834, 0.0238551, 0.0237498, 0.0237213, 0.0236723, 0.0237463, 0.0236897, 0.0237755, 0.0237449, 0.023735, 0.0235717, 0.0236615, 0.023623, 0.0237432, 0.0236865, 0.0236685, 0.0235386, 0.0235869, 0.0235745, 0.0236835, 0.0236373, 0.0236215, 0.0235252, 0.0235037, 0.0235024, 0.023556, 0.0235345, 0.0235538, 0.0234553, 0.023493, 0.0234281, 0.0234939, 0.0234645, 0.0235212, 0.0234212, 0.0234925, 0.0234268, 0.0234953, 0.0234499, 0.023469, 0.0233979, 0.0234252, 0.0233886, 0.0234519, 0.0234188, 0.0234215, 0.0233427, 0.0234004, 0.0233748, 0.0234711, 0.0234023, 0.0234034, 0.0232672, 0.0233225, 0.0233392, 0.0234361, 0.0233813, 0.023378, 0.0232841, 0.0233312, 0.0233006, 0.0233889, 0.0233246, 0.0233657, 0.0232927, 0.0233386, 0.0232566, 0.0233135, 0.0233131, 0.0233869, 0.0232849, 0.0232773, 0.0232338, 0.023321, 0.0233025, 0.0233164, 0.023238, 0.0232927, 0.0232733, 0.0233109, 0.023262, 0.0233009, 0.023245, 0.0233032, 0.02327, 0.0233364, 0.023241, 0.0232407, 0.0232121, 0.0232967, 0.0232466, 0.0233223, 0.0232464, 0.0232461, 0.0231935, 0.023242, 0.0232233, 0.0233093, 0.0232498, 0.0232944, 0.0231968, 0.0232181, 0.0231707, 0.0232879, 0.0232654, 0.0233195, 0.0232002, 0.0231749, 0.023148, 0.0232612, 0.0232466, 0.0232775, 0.0231698, 0.0232093, 0.023167, 0.023217, 0.0232048, 0.0232578, 0.0231835, 0.0231953, 0.0231719, 0.0232285, 0.0231734, 
