Extra_VNs,Payload_VNs
1,361
2,673
4,583
6,31
9,821
11,508
12,397
14,66
17,733
21,797
22,832
24,700
25,647
26,436
28,166
30,327
31,116
34,9
36,789
38,274
39,178
42,287
44,173
48,316
50,30
51,845
52,568
54,864
55,353
57,460
58,59
59,186
62,681
63,340
65,906
66,119
76,981
77,558
79,721
82,1008
83,290
84,431
87,478
89,781
91,837
92,91
93,160
94,360
