Extra_VNs,Payload_VNs
3,51
5,538
7,334
8,156
10,198
13,914
15,691
16,465
18,920
19,92
20,749
23,744
27,594
29,175
32,639
33,299
35,127
37,207
40,921
41,65
43,239
45,50
46,439
47,32
49,923
53,183
56,89
60,311
61,473
64,102
67,997
68,328
69,297
70,48
71,291
72,42
73,530
74,777
75,699
78,76
80,67
81,817
85,912
86,593
88,138
90,876
95,385
96,312
