Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,604,953
2,610,873
3,611,847
4,675,830
5,677,817
6,688,808
7,738,796
8,783,783
9,796,738
10,808,688
11,817,677
12,830,675
13,847,611
14,873,610
15,953,604
