Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,525,1379
2,136,1382
3,1440,1427
4,490,1432
5,851,1455
6,1309,1462
7,699,1477
8,1405,1486
9,762,1489
10,1301,1497
11,1341,1501
12,849,1515
13,91,1516
14,647,1526
15,816,1532
16,539,1551
17,407,1565
18,1575,1581
19,828,1603
20,1697,1625
21,755,1631
22,1470,1635
23,766,1699
24,1549,1708
25,1442,1729
26,729,1739
27,440,1826
28,1513,1833
29,1810,1838
30,639,1870
31,1274,1894
