Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,557,276
2,387,283
3,538,288
4,475,291
5,188,292
6,338,293
7,355,306
8,431,310
9,203,312
10,295,320
11,574,326
12,36,327
13,247,328
14,308,331
15,148,336
16,527,339
17,811,344
18,432,347
19,742,356
20,202,359
21,961,360
22,664,361
23,216,366
24,777,369
25,235,380
26,210,384
27,497,388
28,118,393
29,232,397
30,635,400
31,57,401
32,482,403
33,315,404
34,780,406
35,483,407
36,531,416
37,850,425
38,322,441
39,768,443
40,862,446
41,824,448
42,721,450
43,239,455
44,968,459
45,80,460
46,914,462
47,189,463
48,750,467
49,357,472
50,642,488
51,934,489
52,93,490
53,586,491
54,795,494
55,628,495
56,161,518
57,564,526
58,622,532
59,889,533
60,223,534
61,270,539
62,722,550
63,974,552
