Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,101,209
2,617,214
3,712,216
4,589,223
5,460,227
6,678,228
7,681,236
8,709,247
9,668,248
10,957,254
11,241,257
12,739,264
13,268,272
14,134,281
15,643,282
16,483,286
17,491,288
18,694,291
19,804,293
20,388,294
21,693,295
22,449,300
23,868,301
24,859,306
25,287,308
26,648,319
27,618,320
28,574,330
29,893,335
30,299,336
31,355,339
32,128,340
33,953,346
34,677,349
35,511,351
36,672,359
37,578,362
38,682,363
39,575,376
40,758,382
41,553,391
42,1003,393
43,244,394
44,115,407
45,119,413
46,68,417
47,436,425
48,478,439
49,402,450
50,799,469
51,661,470
52,809,475
53,946,481
54,983,494
55,219,499
56,158,504
57,728,507
58,99,509
59,558,514
60,563,518
61,885,524
62,513,527
63,424,529
