Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, BER_it_50, BER_it_51, BER_it_52, BER_it_53, BER_it_54, BER_it_55, BER_it_56, BER_it_57, BER_it_58, BER_it_59, BER_it_60, BER_it_61, BER_it_62, BER_it_63, BER_it_64, BER_it_65, BER_it_66, BER_it_67, BER_it_68, BER_it_69, BER_it_70, BER_it_71, BER_it_72, BER_it_73, BER_it_74, BER_it_75, BER_it_76, BER_it_77, BER_it_78, BER_it_79, BER_it_80, BER_it_81, BER_it_82, BER_it_83, BER_it_84, BER_it_85, BER_it_86, BER_it_87, BER_it_88, BER_it_89, BER_it_90, BER_it_91, BER_it_92, BER_it_93, BER_it_94, BER_it_95, BER_it_96, BER_it_97, BER_it_98, BER_it_99, 
1, 0.230947, 0.0806005, 0.0754042, 0.0744804, 0.0745958, 0.0747113, 0.0747113, 0.0748268, 0.0751732, 0.0750577, 0.0751732, 0.0750577, 0.0751732, 0.0750577, 0.0751732, 0.0750577, 0.0751732, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0750577, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 0.0749423, 
1.25, 0.2331, 0.0764569, 0.0734266, 0.0728438, 0.0724942, 0.0723776, 0.0721445, 0.0724942, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 0.0726107, 
1.5, 0.180505, 0.0629964, 0.0590253, 0.0587545, 0.0591155, 0.0591155, 0.0591155, 0.058935, 0.0587545, 0.0586643, 0.0587545, 0.0587545, 0.0586643, 0.0587545, 0.0587545, 0.0587545, 0.0586643, 0.0587545, 0.0587545, 0.0587545, 0.0587545, 0.0587545, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.0588448, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 0.058935, 
1.75, 0.156372, 0.0562158, 0.0502737, 0.0501173, 0.0503518, 0.0498827, 0.0501955, 0.0500391, 0.0499609, 0.0499609, 0.0499609, 0.0499609, 0.0498827, 0.0498045, 0.0498827, 0.0498045, 0.0498827, 0.0498045, 0.0498827, 0.0498045, 0.0498827, 0.0498045, 0.0498827, 0.0498045, 0.0498827, 0.0498045, 0.0498827, 0.0498045, 0.0498045, 0.0498045, 0.0498045, 0.0498045, 0.0497263, 0.0497263, 0.0496482, 0.0497263, 0.0496482, 0.0497263, 0.0496482, 0.0497263, 0.0496482, 0.0497263, 0.0496482, 0.0497263, 0.0496482, 0.0497263, 0.0496482, 0.0496482, 0.04957, 0.0496482, 0.04957, 0.0496482, 0.04957, 0.0496482, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 0.0497263, 
2, 0.132275, 0.0482143, 0.0435185, 0.0431217, 0.0425265, 0.0430556, 0.0429894, 0.0429894, 0.0429894, 0.0428571, 0.042791, 0.0427249, 0.0428571, 0.0427249, 0.0429233, 0.042791, 0.0429233, 0.042791, 0.0429233, 0.042791, 0.0429233, 0.042791, 0.0429233, 0.042791, 0.0429233, 0.042791, 0.0429233, 0.042791, 0.0429233, 0.042791, 0.0428571, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.0429233, 0.0428571, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 0.042791, 
2.25, 0.138313, 0.0467497, 0.0426003, 0.0432918, 0.0436376, 0.0439142, 0.0439142, 0.0439834, 0.0439834, 0.0441217, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 0.0439142, 
2.5, 0.108814, 0.0386289, 0.0354189, 0.0350925, 0.0348749, 0.0348749, 0.0348749, 0.0349293, 0.0348749, 0.0348749, 0.0348749, 0.0348749, 0.0348749, 0.0348749, 0.0348205, 0.0347661, 0.0348205, 0.0347661, 0.0348749, 0.0348205, 0.0348749, 0.0348205, 0.0348749, 0.0348205, 0.0348749, 0.0348205, 0.0348749, 0.0348205, 0.0348749, 0.0348205, 0.0348749, 0.0348205, 0.0348749, 0.0348205, 0.0348749, 0.0348749, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 0.0349293, 
