SNR, Throughput
-2, 0.147037
-1.75, 0.295417
-1.5, 0.403833
-1.25, 0.484663
-1, 0.510259
-0.75, 0.515175
-0.5, 0.516377
-0.25, 0.516393
0, 0.516393
0.25, 0.516393
0.5, 0.516393
0.75, 0.516393
1, 0.516393
1.25, 0.516393
1.5, 0.516393
1.75, 0.516393
2, 0.516393
