SNR, Throughput
-2, 0.355994
-1.75, 0.359147
-1.5, 0.36095
-1.25, 0.361192
-1, 0.361222
-0.75, 0.361222
-0.5, 0.361222
-0.25, 0.361222
0, 0.361222
0.25, 0.361222
0.5, 0.361222
0.75, 0.361222
1, 0.361222
1.25, 0.361222
1.5, 0.361222
1.75, 0.361222
2, 0.361222
2.25, 0.361222
2.5, 0.361222
