SNR,Throught
-4.5, 0.0586667
-4.25, 0.155833
-4, 0.262167
-3.75, 0.33
-3.5, 0.355667
-3.25, 0.364833
-3, 0.366667
-2.75, 0.36697
-2.5, 0.36697
-2.25, 0.367122
-2, 0.368336
-1.75, 0.369095
-1.5, 0.369551
-1.25, 0.37122
-1, 0.374711
-0.75, 0.376077
-0.5, 0.37881
-0.25, 0.379568
0, 0.392716
0.25, 0.416039
0.5, 0.462333
0.75, 0.54482
1, 0.651725
1.25, 0.688763
1.5, 0.733333
1.75, 0.733333
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
