SNR,FER,BER
0,0.95,0.13205492424242424
1,0.7428571428571429,0.07712053571428572
2,0.37592592592592594,0.03229166666666667
3,0.10869565217391304,0.008440896739130435
4,0.013812154696132596,0.0009265653775322283
5,0.0009954210631096954,5.070426040215011e-05
6,5.083625641807737e-05,2.2161430532255603e-06
