Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.888889, 0.158148, 0.1575, 0.156806, 0.156019, 0.155463, 0.152546, 0.153102, 0.155741, 0.153148, 0.156019, 0.154398, 0.150648, 0.150787, 0.151019, 0.150509, 0.152222, 0.150046, 0.148426, 0.149444, 0.149491, 
0.5, 0.813008, 0.136264, 0.132791, 0.129658, 0.127033, 0.126948, 0.125847, 0.126482, 0.126736, 0.123645, 0.124238, 0.122248, 0.123391, 0.124788, 0.121062, 0.120257, 0.120512, 0.121782, 0.119834, 0.117547, 0.117378, 
1, 0.701754, 0.117251, 0.109759, 0.106762, 0.103765, 0.104094, 0.100585, 0.102814, 0.100804, 0.101791, 0.101791, 0.0985746, 0.0970395, 0.0980994, 0.0975146, 0.0968933, 0.0968567, 0.0945541, 0.094481, 0.094481, 0.0942982, 
1.5, 0.566572, 0.100626, 0.092068, 0.087317, 0.0826251, 0.0828317, 0.0816808, 0.078848, 0.0763397, 0.0768119, 0.0726806, 0.0729757, 0.0733888, 0.0739495, 0.0731527, 0.0739495, 0.0716478, 0.0717068, 0.0698772, 0.0679001, 0.0685198, 
2, 0.377358, 0.0840212, 0.0705385, 0.0649371, 0.0590409, 0.0579009, 0.0554638, 0.0558569, 0.0535181, 0.0525157, 0.0509041, 0.0507075, 0.048408, 0.0487421, 0.047327, 0.0471502, 0.0449489, 0.0451651, 0.0450275, 0.0443593, 0.043809, 
2.5, 0.250313, 0.0675063, 0.0507275, 0.0435962, 0.0399979, 0.0387463, 0.0363997, 0.0355653, 0.0330361, 0.032319, 0.0310284, 0.0306894, 0.028799, 0.0286035, 0.0285383, 0.0285644, 0.0279516, 0.0274301, 0.0257614, 0.0257483, 0.0254354, 
3, 0.186741, 0.0561586, 0.0397409, 0.0344596, 0.0296549, 0.0288379, 0.0260854, 0.0265717, 0.0242472, 0.0240138, 0.0222923, 0.0220296, 0.0211543, 0.021271, 0.0199677, 0.0201914, 0.0191896, 0.0184407, 0.0175459, 0.0175167, 0.0163496, 
3.5, 0.112676, 0.0408568, 0.0249883, 0.0211972, 0.0181279, 0.0177934, 0.0162735, 0.0164378, 0.0148239, 0.014331, 0.0130223, 0.0127993, 0.0115845, 0.0119484, 0.0117195, 0.0112031, 0.0104871, 0.0104871, 0.00997066, 0.0101526, 0.00964202, 
4, 0.0822368, 0.0292283, 0.0164517, 0.0148712, 0.0123141, 0.0130123, 0.0123527, 0.0124298, 0.010588, 0.0103653, 0.00897752, 0.00938871, 0.00841643, 0.0090075, 0.0077611, 0.00829221, 0.00743558, 0.00779965, 0.00749126, 0.00751268, 0.00675884, 
4.5, 0.0655953, 0.0200886, 0.00991445, 0.00966505, 0.00834973, 0.00908426, 0.00868112, 0.00901593, 0.00785093, 0.00779969, 0.00681918, 0.00713349, 0.00609148, 0.00642629, 0.00574642, 0.00609489, 0.00562343, 0.00587283, 0.00549702, 0.005743, 0.00519296, 
5, 0.0430663, 0.0134044, 0.00688388, 0.00739978, 0.00667079, 0.00721361, 0.00640387, 0.00649808, 0.00551563, 0.00556049, 0.00461617, 0.00488309, 0.0042685, 0.00459823, 0.00429093, 0.00441878, 0.0039455, 0.00416083, 0.00373466, 0.00377279, 0.00339596, 
5.5, 0.0317864, 0.00899456, 0.00472492, 0.00590863, 0.00481266, 0.00544508, 0.00477955, 0.00507755, 0.00409912, 0.00423819, 0.00346339, 0.00358259, 0.00310911, 0.0035859, 0.00290713, 0.00325314, 0.00268694, 0.00302633, 0.00257602, 0.00284588, 0.0024055, 
6, 0.0253807, 0.00562209, 0.00321886, 0.00433719, 0.00371061, 0.0040662, 0.00357577, 0.00379389, 0.00311178, 0.00333783, 0.00280113, 0.00305626, 0.0026002, 0.00275619, 0.00242174, 0.0026544, 0.00230674, 0.00245215, 0.00207937, 0.00230674, 0.00205029, 
