Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.900901, 0.145786, 0.141188, 0.13978, 0.139452, 0.140625, 0.144285, 0.144379, 0.150385, 0.150103, 0.153716, 0.153106, 0.156578, 0.156109, 0.156813, 0.156485, 0.157611, 0.157423, 0.158127, 0.157798, 0.158221, 
0.5, 0.766284, 0.12041, 0.109195, 0.10708, 0.105404, 0.104646, 0.105723, 0.106362, 0.108078, 0.108557, 0.111111, 0.110233, 0.11155, 0.111271, 0.112508, 0.111909, 0.112109, 0.112069, 0.112348, 0.112229, 0.112069, 
1, 0.701754, 0.102376, 0.0913012, 0.087902, 0.0848319, 0.0839181, 0.0840278, 0.0838816, 0.0851243, 0.0854532, 0.0875, 0.0865132, 0.0881213, 0.0873538, 0.0881213, 0.0876462, 0.0880482, 0.0877924, 0.0880482, 0.0879751, 0.0879386, 
1.5, 0.507614, 0.0852633, 0.0716212, 0.0646679, 0.0613632, 0.0601206, 0.0609137, 0.0597504, 0.0617862, 0.0621299, 0.0633196, 0.062923, 0.0633989, 0.0633989, 0.0638484, 0.0637162, 0.063769, 0.0637426, 0.0638219, 0.063769, 0.0638748, 
2, 0.361011, 0.0688741, 0.0517637, 0.0454272, 0.040012, 0.0380754, 0.0370788, 0.0367216, 0.0373797, 0.0372104, 0.0382634, 0.0378873, 0.0384326, 0.0382446, 0.0384514, 0.0382822, 0.0384514, 0.0383198, 0.0383386, 0.0383386, 0.0383762, 
2.5, 0.220507, 0.0543918, 0.0360162, 0.0296996, 0.0248989, 0.023004, 0.0217981, 0.0213042, 0.0213501, 0.0210286, 0.0214535, 0.0212468, 0.0214535, 0.0213846, 0.0215109, 0.021442, 0.0215569, 0.0214994, 0.0215339, 0.0214994, 0.0215109, 
3, 0.122549, 0.0399497, 0.0218929, 0.0157335, 0.0121592, 0.0109783, 0.00979116, 0.00968265, 0.00972095, 0.00954223, 0.00970818, 0.00961882, 0.0096635, 0.00960606, 0.00968265, 0.00965074, 0.0096635, 0.00963797, 0.00965074, 0.00965712, 0.0096635, 
3.5, 0.0527983, 0.0278704, 0.0122014, 0.0079555, 0.00534033, 0.00468585, 0.00399012, 0.00388838, 0.00401212, 0.00389938, 0.00401212, 0.00392137, 0.00399012, 0.00392412, 0.00395162, 0.00393787, 0.00394337, 0.00392962, 0.00392962, 0.00392687, 0.00393237, 
4, 0.0198926, 0.0180805, 0.00588385, 0.00314241, 0.00190741, 0.00161316, 0.00141838, 0.00135622, 0.00136865, 0.00133342, 0.00135518, 0.00134275, 0.00135933, 0.00135933, 0.0013614, 0.00136347, 0.00136036, 0.00136243, 0.0013614, 0.00136243, 0.0013614, 
4.5, 0.00634478, 0.011142, 0.0024933, 0.00108919, 0.000588874, 0.000488415, 0.000417698, 0.000393905, 0.000399523, 0.000386965, 0.000399853, 0.0003906, 0.000399853, 0.000393244, 0.000399853, 0.000394566, 0.000396879, 0.000394566, 0.000396218, 0.000394235, 0.000395888, 
5, 0.00201589, 0.00640149, 0.000991354, 0.000354145, 0.00017345, 0.000139327, 0.000123893, 0.000116438, 0.000116753, 0.000113814, 0.000113499, 0.000113079, 0.000113499, 0.000113184, 0.000113394, 0.000113079, 0.000113184, 0.000113184, 0.000112974, 0.000113289, 0.000113079, 
5.5, 0.000505789, 0.00332991, 0.000316329, 9.01727e-05, 3.95938e-05, 3.17435e-05, 2.8714e-05, 2.64222e-05, 2.73969e-05, 2.62641e-05, 2.66329e-05, 2.62378e-05, 2.65539e-05, 2.62114e-05, 2.66329e-05, 2.63168e-05, 2.64749e-05, 2.62641e-05, 2.64222e-05, 2.62641e-05, 2.62905e-05, 
6, 9.55411e-05, 0.0015483, 8.78033e-05, 1.91231e-05, 7.17553e-06, 5.414e-06, 5.05074e-06, 4.63772e-06, 4.75217e-06, 4.6228e-06, 4.73227e-06, 4.67256e-06, 4.70241e-06, 4.68251e-06, 4.71237e-06, 4.68749e-06, 4.68749e-06, 4.69246e-06, 4.69246e-06, 4.68749e-06, 4.68749e-06, 
