Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.888889, 0.146019, 0.141343, 0.138148, 0.135694, 0.134583, 0.133426, 0.13338, 0.132963, 0.133009, 0.132917, 0.132083, 0.132222, 0.132222, 0.132083, 0.132176, 0.132407, 0.132037, 0.131898, 0.131898, 0.131481, 
0.5, 0.766284, 0.12069, 0.111031, 0.106681, 0.10261, 0.101253, 0.100295, 0.100295, 0.0998563, 0.0996568, 0.0991379, 0.0990182, 0.0982599, 0.0984195, 0.0980204, 0.0982599, 0.0984595, 0.0980204, 0.0982998, 0.0979805, 0.0972222, 
1, 0.621118, 0.103908, 0.0924237, 0.0863419, 0.0808747, 0.0779956, 0.0762487, 0.0750841, 0.0757635, 0.0737578, 0.0738225, 0.0736931, 0.0736284, 0.0737254, 0.0745018, 0.074243, 0.0745342, 0.0737578, 0.0723667, 0.0725932, 0.0728196, 
1.5, 0.381679, 0.0865339, 0.0725191, 0.062659, 0.0561586, 0.0526598, 0.0502545, 0.0484653, 0.0467756, 0.045881, 0.0456425, 0.0453642, 0.0449467, 0.0443106, 0.0436546, 0.0428793, 0.0417462, 0.0413685, 0.0410902, 0.0413685, 0.0414679, 
2, 0.280112, 0.0715307, 0.0554243, 0.0462185, 0.0403828, 0.0373483, 0.0352766, 0.0339344, 0.0338761, 0.0334384, 0.0328402, 0.0317169, 0.0317023, 0.0316731, 0.0303163, 0.0300829, 0.0295139, 0.0300829, 0.030681, 0.0308707, 0.0297473, 
2.5, 0.140647, 0.05579, 0.0376524, 0.0277192, 0.0231921, 0.0203938, 0.0187603, 0.0180277, 0.0173684, 0.0172952, 0.0160938, 0.0154419, 0.0154785, 0.0151415, 0.0144676, 0.0144383, 0.0144163, 0.0141819, 0.0137717, 0.0142332, 0.0139402, 
3, 0.0598265, 0.0411743, 0.0235442, 0.0151124, 0.0114948, 0.00980282, 0.00891477, 0.00840999, 0.00843803, 0.00770578, 0.00713244, 0.00665881, 0.00625062, 0.00598265, 0.00600446, 0.00590164, 0.00577388, 0.00568975, 0.00570533, 0.00580504, 0.00549968, 
3.5, 0.0229253, 0.0285324, 0.0131164, 0.00735638, 0.00528236, 0.00434505, 0.00394744, 0.00367998, 0.003397, 0.00311879, 0.0028979, 0.00268536, 0.00248715, 0.00239402, 0.00230208, 0.00227462, 0.00228178, 0.00226506, 0.00218029, 0.00211939, 0.0020585, 
4, 0.00726137, 0.0191345, 0.00660482, 0.00300818, 0.00188796, 0.00149766, 0.00131385, 0.00123481, 0.0011535, 0.00102264, 0.000916748, 0.000840731, 0.000763201, 0.000723868, 0.000695125, 0.00068567, 0.000717439, 0.000702311, 0.000655036, 0.000617973, 0.000576371, 
4.5, 0.00217146, 0.0119794, 0.00303303, 0.001158, 0.000687402, 0.000548293, 0.000517305, 0.000484054, 0.00043169, 0.000362249, 0.000308528, 0.000266004, 0.000240783, 0.000227098, 0.000222122, 0.00021511, 0.000212283, 0.000204027, 0.000190568, 0.000176657, 0.000168514, 
5, 0.000551858, 0.00694778, 0.00121495, 0.000386186, 0.000217697, 0.000170357, 0.000148829, 0.000144432, 0.000124513, 9.71788e-05, 7.63691e-05, 6.72002e-05, 6.05032e-05, 5.60481e-05, 5.14205e-05, 5.04433e-05, 4.97247e-05, 4.80002e-05, 4.46085e-05, 3.9866e-05, 3.67043e-05, 
5.5, 0.000131249, 0.00367205, 0.000422931, 0.000114091, 6.10515e-05, 5.0572e-05, 4.72703e-05, 4.32439e-05, 3.45487e-05, 2.53544e-05, 1.9161e-05, 1.68437e-05, 1.59755e-05, 1.52509e-05, 1.42118e-05, 1.39452e-05, 1.36923e-05, 1.24892e-05, 1.11699e-05, 9.95991e-06, 9.03023e-06, 
6, 3.76339e-05, 0.0017762, 0.000132751, 3.15909e-05, 1.65432e-05, 1.41401e-05, 1.33796e-05, 1.25466e-05, 9.41239e-06, 6.75645e-06, 5.03353e-06, 4.24165e-06, 3.87903e-06, 3.67518e-06, 3.42233e-06, 3.56542e-06, 3.68498e-06, 3.52621e-06, 3.12439e-06, 2.56185e-06, 2.21295e-06, 
