Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.904977, 0.145833, 0.141403, 0.140696, 0.140979, 0.14178, 0.144514, 0.144749, 0.149227, 0.14951, 0.152055, 0.151537, 0.153752, 0.153328, 0.155354, 0.154506, 0.155307, 0.154789, 0.155072, 0.15493, 0.155119, 
0.5, 0.787402, 0.120899, 0.109621, 0.109211, 0.10716, 0.105315, 0.108186, 0.108022, 0.110851, 0.110892, 0.112738, 0.112492, 0.114296, 0.113599, 0.114583, 0.114009, 0.114378, 0.114214, 0.114419, 0.114255, 0.11446, 
1, 0.724638, 0.102582, 0.091712, 0.0890323, 0.0862017, 0.0847298, 0.0855601, 0.0859752, 0.0875226, 0.0869188, 0.0884284, 0.0885794, 0.0899004, 0.0897117, 0.0900891, 0.0897871, 0.0905042, 0.0900136, 0.0902023, 0.0900891, 0.0902023, 
1.5, 0.557103, 0.0860028, 0.0722203, 0.0673456, 0.064357, 0.0637477, 0.064386, 0.064357, 0.0664171, 0.0664461, 0.0676938, 0.0676358, 0.0683032, 0.0683322, 0.0687964, 0.0687384, 0.0689415, 0.0688545, 0.0690576, 0.0690576, 0.0692317, 
2, 0.383877, 0.0679583, 0.0512436, 0.0456454, 0.0404671, 0.0382078, 0.0382678, 0.0378279, 0.0390675, 0.0392874, 0.0404271, 0.0399072, 0.040487, 0.0402071, 0.040487, 0.0403871, 0.040587, 0.0404271, 0.040627, 0.040567, 0.040627, 
2.5, 0.243605, 0.0535044, 0.034866, 0.0299685, 0.0265175, 0.0242463, 0.0233836, 0.0229903, 0.0232821, 0.0231806, 0.0235485, 0.0235231, 0.0237896, 0.02365, 0.0237769, 0.0237642, 0.023815, 0.0237515, 0.023815, 0.0238023, 0.023815, 
3, 0.154679, 0.0400393, 0.0224849, 0.0177398, 0.0146301, 0.0129544, 0.0122938, 0.0119796, 0.012181, 0.0119796, 0.0121568, 0.0120843, 0.0121487, 0.0122213, 0.0122051, 0.0122213, 0.0122051, 0.012189, 0.0121971, 0.012189, 0.0121971, 
3.5, 0.0679348, 0.0283345, 0.0122106, 0.00828663, 0.00666964, 0.00582045, 0.00519418, 0.00508096, 0.00528264, 0.00514464, 0.00528618, 0.00527556, 0.0052791, 0.00526495, 0.00531094, 0.00526848, 0.00528618, 0.00528618, 0.00529679, 0.00531094, 0.00530387, 
4, 0.0313627, 0.018027, 0.00599975, 0.00360181, 0.0027328, 0.002362, 0.00216925, 0.00217579, 0.00224113, 0.00220192, 0.00221172, 0.00223786, 0.00224113, 0.00222479, 0.00224603, 0.00224766, 0.00224276, 0.00223459, 0.00223949, 0.00224439, 0.00223786, 
4.5, 0.0120308, 0.0112732, 0.00258349, 0.00130396, 0.000982515, 0.000837143, 0.000780749, 0.000756938, 0.00076383, 0.000739393, 0.000761324, 0.000758818, 0.000766963, 0.000750045, 0.000766963, 0.000759444, 0.000768843, 0.000759444, 0.000770096, 0.00076383, 0.000770723, 
5, 0.00392565, 0.0063528, 0.000965873, 0.000441227, 0.000345948, 0.00027868, 0.000259461, 0.000256803, 0.000266208, 0.000256189, 0.000264572, 0.00026907, 0.000268662, 0.000267435, 0.000267026, 0.000268866, 0.000266821, 0.000264981, 0.000266412, 0.000265595, 0.000266004, 
5.5, 0.00107424, 0.0033261, 0.000313374, 0.000116152, 8.44282e-05, 6.52374e-05, 6.28875e-05, 6.10971e-05, 6.36708e-05, 5.92508e-05, 5.98662e-05, 6.04817e-05, 6.0146e-05, 5.94186e-05, 5.99222e-05, 6.03698e-05, 5.98103e-05, 5.94746e-05, 5.94186e-05, 5.96984e-05, 5.93067e-05, 
6, 0.000283333, 0.00155379, 8.80694e-05, 2.63706e-05, 2.12352e-05, 1.72804e-05, 1.70295e-05, 1.7059e-05, 1.71623e-05, 1.61588e-05, 1.64245e-05, 1.66901e-05, 1.64687e-05, 1.62179e-05, 1.64392e-05, 1.65573e-05, 1.64245e-05, 1.61736e-05, 1.61588e-05, 1.62031e-05, 1.62917e-05, 
