Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.873362, 0.152156, 0.151474, 0.151838, 0.148472, 0.147198, 0.147562, 0.146834, 0.145333, 0.145242, 0.145197, 0.142558, 0.141467, 0.142422, 0.141194, 0.142513, 0.144196, 0.142604, 0.142194, 0.142695, 0.14274, 
0.5, 0.746269, 0.124883, 0.119558, 0.116993, 0.112757, 0.112212, 0.111746, 0.108559, 0.108909, 0.108131, 0.10782, 0.108209, 0.105605, 0.106887, 0.105644, 0.106965, 0.108287, 0.107043, 0.105877, 0.106304, 0.10611, 
1, 0.623053, 0.108288, 0.10011, 0.0940421, 0.0876817, 0.0852155, 0.084242, 0.0821327, 0.0819055, 0.0811591, 0.0789849, 0.0809644, 0.0798611, 0.0810942, 0.0803154, 0.0807697, 0.0786604, 0.0784333, 0.0785955, 0.0777194, 0.0790823, 
1.5, 0.409836, 0.0889686, 0.0774633, 0.0692879, 0.0628202, 0.0594262, 0.0579747, 0.0559896, 0.0527664, 0.0525316, 0.0510374, 0.0500768, 0.0494578, 0.0498634, 0.0489669, 0.0488175, 0.0468963, 0.0473873, 0.0467256, 0.0481984, 0.0465975, 
2, 0.302572, 0.0742877, 0.0594112, 0.0496722, 0.0446293, 0.0419188, 0.0392083, 0.0379003, 0.0374433, 0.0371911, 0.0358831, 0.0353788, 0.0345121, 0.0346855, 0.034386, 0.0343545, 0.0334405, 0.0341339, 0.0330623, 0.0322901, 0.0327471, 
2.5, 0.140647, 0.0562368, 0.0394105, 0.0294187, 0.0246791, 0.0219834, 0.0199103, 0.0191558, 0.0178006, 0.0170608, 0.0163282, 0.0162037, 0.0158594, 0.0152807, 0.0147167, 0.014431, 0.0143357, 0.0140647, 0.013757, 0.0136984, 0.0138889, 
3, 0.0592768, 0.0424725, 0.0252884, 0.01665, 0.0125068, 0.010216, 0.00895018, 0.00812278, 0.00747444, 0.00724597, 0.00671804, 0.00651119, 0.00628581, 0.00611292, 0.0058752, 0.00580419, 0.00564056, 0.00553559, 0.00545223, 0.00555103, 0.00557264, 
3.5, 0.0204478, 0.0293149, 0.0139844, 0.0077297, 0.00527596, 0.00408956, 0.00339412, 0.00304587, 0.00269655, 0.00252616, 0.0024154, 0.00228973, 0.00218429, 0.00204691, 0.00191805, 0.00190953, 0.0018648, 0.00179131, 0.00182007, 0.00182646, 0.00177534, 
4, 0.0058072, 0.0197215, 0.00704758, 0.00316734, 0.00187222, 0.00131418, 0.00103925, 0.000880154, 0.000784275, 0.000732857, 0.000665711, 0.000635768, 0.000590701, 0.000557128, 0.000525068, 0.000515389, 0.000497242, 0.000479397, 0.000470625, 0.000459737, 0.000443404, 
4.5, 0.00146076, 0.0123291, 0.00320903, 0.00117492, 0.000617171, 0.000417534, 0.000320074, 0.000260274, 0.0002357, 0.000211202, 0.000186932, 0.000165629, 0.000149348, 0.000137555, 0.000129947, 0.000124393, 0.000113665, 0.000110242, 0.000107655, 0.000107122, 0.00010446, 
5, 0.000299046, 0.00716471, 0.00124322, 0.000354339, 0.000166625, 0.000100772, 7.35311e-05, 5.93731e-05, 5.18347e-05, 4.55734e-05, 3.88137e-05, 3.39386e-05, 2.96554e-05, 2.65403e-05, 2.45311e-05, 2.31605e-05, 2.17432e-05, 2.12603e-05, 2.05439e-05, 2.04971e-05, 1.95782e-05, 
5.5, 7.3045e-05, 0.00379928, 0.000422234, 9.75378e-05, 4.13503e-05, 2.47402e-05, 1.79683e-05, 1.5484e-05, 1.35476e-05, 1.07779e-05, 8.32789e-06, 7.07243e-06, 6.29252e-06, 5.82077e-06, 5.70664e-06, 5.57348e-06, 5.29956e-06, 5.13217e-06, 4.83923e-06, 4.86586e-06, 4.59574e-06, 
6, 1.52196e-05, 0.00184267, 0.000125214, 2.36539e-05, 9.17618e-06, 5.13029e-06, 3.63369e-06, 3.11369e-06, 2.83466e-06, 2.34557e-06, 1.74788e-06, 1.40227e-06, 1.22471e-06, 1.11769e-06, 1.08044e-06, 1.09629e-06, 1.06141e-06, 1.00672e-06, 1.00117e-06, 9.67875e-07, 8.98118e-07, 
