Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.840336, 0.145133, 0.140362, 0.136905, 0.134104, 0.132178, 0.134016, 0.134935, 0.136642, 0.137955, 0.142157, 0.1415, 0.142201, 0.14452, 0.150516, 0.161239, 0.158876, 0.157694, 0.158832, 0.162071, 0.168374, 
0.5, 0.704225, 0.122433, 0.111392, 0.106404, 0.103433, 0.101342, 0.101379, 0.102443, 0.103213, 0.103286, 0.105707, 0.10457, 0.10391, 0.105194, 0.109485, 0.124083, 0.120048, 0.119021, 0.119095, 0.122249, 0.125917, 
1, 0.574713, 0.101383, 0.0899485, 0.0838721, 0.0790829, 0.0761794, 0.0753412, 0.0751018, 0.075431, 0.0792924, 0.0863865, 0.083483, 0.0831537, 0.0851892, 0.0874341, 0.0952167, 0.0931813, 0.0929119, 0.0932112, 0.093301, 0.0965637, 
1.5, 0.368324, 0.0844652, 0.0699048, 0.0602939, 0.0534837, 0.0500307, 0.0478438, 0.0481699, 0.0481699, 0.0496087, 0.0541552, 0.0521217, 0.0511817, 0.0517956, 0.053196, 0.0573588, 0.0555364, 0.0550952, 0.0550952, 0.0565147, 0.0577617, 
2, 0.27137, 0.0710227, 0.0538783, 0.0440694, 0.0385713, 0.035264, 0.0334125, 0.0318578, 0.0319143, 0.0333135, 0.0380343, 0.0369036, 0.0366633, 0.0372569, 0.0383028, 0.0408186, 0.0401261, 0.0397727, 0.0397162, 0.0397586, 0.0404794, 
2.5, 0.135044, 0.0540457, 0.035864, 0.025806, 0.021403, 0.01866, 0.0168524, 0.0158677, 0.0155582, 0.016353, 0.0185896, 0.0177104, 0.0172392, 0.0173025, 0.0179848, 0.0190609, 0.0187514, 0.0184068, 0.0183364, 0.018674, 0.0190187, 
3, 0.0565451, 0.0400646, 0.0221085, 0.0138801, 0.0103313, 0.0083993, 0.00703574, 0.00633482, 0.00598141, 0.00612277, 0.00726251, 0.00683548, 0.00671178, 0.00671473, 0.00675007, 0.00728902, 0.00711231, 0.00700629, 0.00702396, 0.00713882, 0.00722717, 
3.5, 0.0241371, 0.0274182, 0.012061, 0.00649187, 0.00444525, 0.00355519, 0.00285371, 0.00266011, 0.00255074, 0.00264628, 0.00300708, 0.00287508, 0.00284491, 0.00283359, 0.00285748, 0.00289645, 0.00288137, 0.00285119, 0.00286251, 0.00289268, 0.00293794, 
4, 0.00634437, 0.0181386, 0.00583253, 0.00248719, 0.00144731, 0.00108053, 0.000782473, 0.000678716, 0.000640385, 0.00064435, 0.000713081, 0.000662194, 0.000655255, 0.000653603, 0.000664177, 0.000685655, 0.000672437, 0.00066649, 0.000676403, 0.000681029, 0.000690281, 
4.5, 0.00192408, 0.0112497, 0.00259339, 0.000899405, 0.000473503, 0.00033972, 0.000233194, 0.00019832, 0.000186194, 0.000192508, 0.000201627, 0.000192708, 0.000190003, 0.000189602, 0.000191405, 0.000201427, 0.000194913, 0.000195214, 0.000196917, 0.000196817, 0.000201126, 
5, 0.000413222, 0.00641513, 0.000977723, 0.000262504, 0.000121298, 8.14607e-05, 5.09856e-05, 4.23983e-05, 4.0117e-05, 3.98157e-05, 4.32807e-05, 3.95789e-05, 3.98372e-05, 3.95789e-05, 3.92776e-05, 4.04829e-05, 3.96005e-05, 3.95789e-05, 3.96435e-05, 3.97726e-05, 4.00524e-05, 
5.5, 7.49554e-05, 0.00331598, 0.000314953, 6.48169e-05, 2.49461e-05, 1.55611e-05, 9.0493e-06, 7.32767e-06, 6.68352e-06, 6.70304e-06, 6.8631e-06, 6.38292e-06, 6.20334e-06, 6.14869e-06, 6.2619e-06, 6.38292e-06, 6.20724e-06, 6.17601e-06, 6.26971e-06, 6.32046e-06, 6.22676e-06, 
6, 1.48893e-05, 0.00155539, 8.81703e-05, 1.36206e-05, 4.60017e-06, 2.8375e-06, 1.64325e-06, 1.35245e-06, 1.25318e-06, 1.25939e-06, 1.26482e-06, 1.2082e-06, 1.17408e-06, 1.15702e-06, 1.15702e-06, 1.14849e-06, 1.14849e-06, 1.14229e-06, 1.11592e-06, 1.11825e-06, 1.126e-06, 
