Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, 
0, 0.900901, 0.148414, 0.144097, 0.140156, 0.13917, 0.137904, 0.138701, 0.13856, 0.138607, 0.138138, 0.138138, 0.137106, 0.13673, 0.136355, 0.136684, 0.136261, 0.136027, 0.136214, 0.136308, 0.13598, 0.13598, 
0.5, 0.775194, 0.123062, 0.114745, 0.109658, 0.106993, 0.105539, 0.10457, 0.1034, 0.102875, 0.101663, 0.10134, 0.101381, 0.100937, 0.100856, 0.100412, 0.100775, 0.100735, 0.100654, 0.100775, 0.101139, 0.10025, 
1, 0.675676, 0.106384, 0.0964949, 0.0918497, 0.0862894, 0.0831574, 0.0816441, 0.0806588, 0.0807644, 0.0801661, 0.0802013, 0.0802717, 0.0792511, 0.0789344, 0.0790752, 0.0789344, 0.0783361, 0.0780898, 0.0773156, 0.0774916, 0.0765766, 
1.5, 0.452489, 0.0900735, 0.0781014, 0.0700179, 0.0635605, 0.0604732, 0.0577394, 0.0567261, 0.0546757, 0.0548171, 0.0543693, 0.0541572, 0.0540158, 0.0534031, 0.0531439, 0.0526725, 0.051612, 0.0512113, 0.0506222, 0.050033, 0.0493967, 
2, 0.30303, 0.0749211, 0.0590909, 0.0505051, 0.0447443, 0.0420928, 0.0394729, 0.0376578, 0.0373264, 0.037137, 0.0363636, 0.0356061, 0.035322, 0.0341383, 0.0331439, 0.0320234, 0.0315972, 0.0320549, 0.0323232, 0.0321023, 0.0317393, 
2.5, 0.182983, 0.059841, 0.0424577, 0.0339661, 0.0291247, 0.0270757, 0.025427, 0.0241213, 0.0229872, 0.0225964, 0.0217387, 0.0209382, 0.020719, 0.0204902, 0.0202996, 0.0192894, 0.0190988, 0.0186032, 0.0183173, 0.0184698, 0.0190226, 
3, 0.0895255, 0.0451684, 0.028098, 0.0199241, 0.016399, 0.0154058, 0.0142168, 0.0134848, 0.0127947, 0.011559, 0.0109762, 0.0106078, 0.0100809, 0.00973124, 0.00921833, 0.0089712, 0.00870076, 0.00867278, 0.00868211, 0.00867745, 0.00831841, 
3.5, 0.0473149, 0.0326078, 0.0168806, 0.0115034, 0.00949994, 0.00905883, 0.00875079, 0.00853886, 0.00805832, 0.00733627, 0.00635054, 0.00581825, 0.0054215, 0.00492863, 0.00477585, 0.00486703, 0.00457131, 0.00443331, 0.00467481, 0.00468959, 0.00445795, 
4, 0.024432, 0.0226556, 0.0100438, 0.00676969, 0.0057186, 0.00572624, 0.00554046, 0.00526814, 0.00449064, 0.00397783, 0.00335303, 0.00317488, 0.0028962, 0.00281986, 0.00264298, 0.00261117, 0.0024012, 0.0023503, 0.00218742, 0.00216452, 0.00204363, 
4.5, 0.0127502, 0.0152857, 0.00629409, 0.004695, 0.00424609, 0.00417039, 0.00393198, 0.00348307, 0.00305607, 0.00250887, 0.00205929, 0.00185874, 0.00163429, 0.00158714, 0.00145698, 0.00133213, 0.00133612, 0.00120795, 0.00115084, 0.00113889, 0.00106385, 
5, 0.0068299, 0.009421, 0.00366431, 0.00295749, 0.00273054, 0.00283868, 0.00263342, 0.00219731, 0.00168044, 0.0013763, 0.00116606, 0.00106539, 0.00098251, 0.000874725, 0.000797178, 0.000775123, 0.000743819, 0.000691528, 0.000671251, 0.000622873, 0.00058232, 
5.5, 0.00327418, 0.00571276, 0.0023465, 0.0020438, 0.0019217, 0.00188334, 0.00161748, 0.00130473, 0.000986347, 0.000764828, 0.000653813, 0.000598049, 0.000559169, 0.000506134, 0.000453099, 0.000402622, 0.000377383, 0.00035709, 0.000311047, 0.000283592, 0.000258012, 
6, 0.00189997, 0.00338323, 0.00163268, 0.0014609, 0.00131088, 0.00126308, 0.00105785, 0.000836777, 0.000619369, 0.000473013, 0.0003794, 0.000358718, 0.000328536, 0.000322697, 0.000280245, 0.000245313, 0.000210382, 0.000195043, 0.000170205, 0.000161992, 0.000159419, 
