Extra_VNs,Payload_VNs
1,11
2,40
3,43
4,46
5,48
6,68
7,69
8,72
9,73
10,82
11,87
12,93
13,121
14,133
15,155
16,161
17,163
18,170
19,173
20,225
21,230
22,249
23,262
24,276
25,285
26,300
27,318
28,327
29,330
30,346
31,351
32,365
33,371
34,372
35,373
36,388
37,390
38,396
39,399
40,403
41,411
42,422
43,423
44,435
45,450
46,458
47,461
48,493
49,501
50,514
51,515
52,542
53,544
54,545
55,565
56,574
57,589
58,594
59,619
60,629
61,636
62,640
63,666
64,673
65,710
66,715
67,729
68,739
69,740
70,751
71,756
72,777
73,794
74,795
75,818
76,824
77,847
78,848
79,850
80,851
81,856
82,859
83,862
84,875
85,879
86,887
87,916
88,922
89,938
90,962
91,963
92,966
93,970
94,990
95,996
96,1019
