SNR, Throughput
-6 ,0
-5.5 ,0.00333333
-5 ,0.064
-4.5 ,0.251326
-4 ,0.34056
-3.5,  0.378355
-3, 0.396626
-2.5, 0.397933
-2, 0.397933
-1.5, 0.397933
-1, 0.397933
-0.5, 0.397933
0, 0.397933
0.5, 0.397933
1, 0.397933
1.5, 0.397933
2, 0.397933
2.5, 0.397933
3, 0.397933
