SNR,Throught
-4.5, 0.0055
-4.25, 0.0403333
-4, 0.168667
-3.75, 0.249423
-3.5, 0.311935
-3.25, 0.362327
-3, 0.368899
-2.75, 0.370238
-2.5, 0.373006
-2.25, 0.373631
-2, 0.376042
-1.75, 0.37631
-1.5, 0.377292
-1.25, 0.378899
-1, 0.380952
-0.75, 0.38131
-0.5, 0.381488
-0.25, 0.382113
0, 0.3859
0.25, 0.397372
0.5, 0.420745
0.75, 0.492935
1, 0.578192
1.25, 0.661221
1.5, 0.719655
1.75, 0.723024
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
