Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,221,361
2,531,362
3,387,363
4,974,364
5,943,365
6,81,366
7,768,367
8,289,368
9,467,369
10,588,370
11,965,371
12,461,372
13,1004,373
14,319,374
15,733,375
