4 96 48
0 0 9 0.5304009765386581
1 0 9 0.880268394947052
2 0 9 1.2765629887580872
3 0 9 1.731649100780487
0 0 29 0.5223924815654755
1 0 29 0.8228322863578796
2 0 29 1.2647697925567627
3 0 29 1.6290369033813477
0 0 39 0.460455983877182
1 0 39 0.8570822775363922
2 0 39 1.3851287364959717
3 0 39 1.7587237358093262
0 1 4 0.4282136410474777
1 1 4 0.7426108419895172
2 1 4 1.0199992954730988
3 1 4 1.389004409313202
0 1 31 0.46911558508872986
1 1 31 0.7535445690155029
2 1 31 1.059196412563324
3 1 31 1.4480441808700562
0 1 44 0.4471666216850281
1 1 44 0.6573744714260101
2 1 44 1.0528167486190796
3 1 44 1.3815006613731384
0 2 15 0.4138508141040802
1 2 15 0.7540048360824585
2 2 15 1.2431179881095886
3 2 15 1.758715808391571
0 2 17 0.4667584151029587
1 2 17 0.8010374307632446
2 2 17 1.1533937454223633
3 2 17 1.662832498550415
0 2 38 0.4685540646314621
1 2 38 0.7852078080177307
2 2 38 1.1724642515182495
3 2 38 1.6010733842849731
0 3 11 0.48513658344745636
1 3 11 0.8563666939735413
2 3 11 1.4071613550186157
3 3 11 1.968806505203247
0 3 21 0.5765949487686157
1 3 21 0.8756966590881348
2 3 21 1.4385753273963928
3 3 21 1.925985038280487
0 3 37 0.47337302565574646
1 3 37 0.8081938922405243
2 3 37 1.4659299850463867
3 3 37 2.1147478818893433
0 4 14 0.4428137093782425
1 4 14 0.7278923988342285
2 4 14 1.0271077454090118
3 4 14 1.4080021381378174
0 4 18 0.4839858114719391
1 4 18 0.8272098898887634
2 4 18 1.1627105474472046
3 4 18 1.5891324877738953
0 4 46 0.480755940079689
1 4 46 0.7229384481906891
2 4 46 0.9862369000911713
3 4 46 1.365040123462677
0 5 1 0.49824340641498566
1 5 1 0.744875580072403
2 5 1 1.2541001439094543
3 5 1 1.679038405418396
0 5 16 0.5614918917417526
1 5 16 0.8326916396617889
2 5 16 1.24982750415802
3 5 16 1.6580818891525269
0 5 33 0.4432123452425003
1 5 33 0.7014078199863434
2 5 33 1.1220842003822327
3 5 33 1.5386630296707153
0 6 8 0.5557058751583099
1 6 8 0.8179716765880585
2 6 8 1.0873331725597382
3 6 8 1.417408049106598
0 6 23 0.47225911915302277
1 6 23 0.7787203192710876
2 6 23 1.115675449371338
3 6 23 1.5544163584709167
0 6 41 0.46865883469581604
1 6 41 0.7376713156700134
2 6 41 0.99314945936203
3 6 41 1.4531764388084412
0 7 0 0.5945097208023071
1 7 0 0.9260800182819366
2 7 0 1.1721046566963196
3 7 0 1.5253129601478577
0 7 28 0.5852521061897278
1 7 28 0.7943016588687897
2 7 28 1.1574026942253113
3 7 28 1.5022000074386597
0 7 32 0.5674606263637543
1 7 32 0.7939743995666504
2 7 32 1.0440745055675507
3 7 32 1.3653265833854675
0 8 3 0.48654983937740326
1 8 3 0.7452559769153595
2 8 3 1.173865020275116
3 8 3 1.772189974784851
0 8 26 0.46244797110557556
1 8 26 0.7592650353908539
2 8 26 1.1427075862884521
3 8 26 1.5926262736320496
0 8 35 0.48673108220100403
1 8 35 0.7062035799026489
2 8 35 1.1547003984451294
3 8 35 1.688377559185028
0 9 2 0.46393296122550964
1 9 2 0.8060413897037506
2 9 2 1.1935821771621704
3 9 2 1.7104238867759705
0 9 25 0.5645768046379089
1 9 25 0.8540462255477905
2 9 25 1.288796067237854
3 9 25 1.7111918330192566
0 9 34 0.5503165423870087
1 9 34 0.8906568586826324
2 9 34 1.3441721200942993
3 9 34 1.7477243542671204
0 10 10 0.5395459532737732
1 10 10 0.6692653000354767
