Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,316,619
2,330,624
3,345,636
4,362,704
5,447,725
6,450,728
7,455,767
8,467,773
9,519,835
10,525,848
11,547,857
12,551,936
13,562,942
14,586,953
15,602,970
