Extra_VNs,Payload_VNs
1,3
2,4
3,5
4,6
5,11
6,13
7,15
8,24
9,26
10,28
11,29
12,31
13,33
14,34
15,38
16,46
17,51
18,55
19,59
20,60
21,63
22,68
23,70
24,73
25,74
26,75
27,76
28,78
29,79
30,80
31,81
32,82
33,83
34,84
35,85
36,86
37,89
38,91
39,96
40,97
41,99
42,101
43,103
44,107
45,110
46,111
47,117
48,126
49,127
50,128
51,129
52,130
53,132
54,133
55,137
56,138
57,140
58,141
59,145
60,146
61,147
62,152
63,155
