SNR,Throught
-2, 0.35198
-1.75, 0.365838
-1.5, 0.376579
-1.25, 0.387845
-1, 0.396094
-0.75, 0.402804
-0.5, 0.404801
-0.25, 0.4074
0, 0.408259
0.25, 0.40875
0.5, 0.408914
0.75, 0.409031
1, 0.408867
1.25, 0.408949
1.5, 0.409031
1.75, 0.409031
2, 0.409031
2.25, 0.409031
2.5, 0.409031
