Extra_VNs,Payload_VNs
3,400
4,67
6,219
7,113
12,165
13,220
18,420
21,50
22,898
25,950
27,466
30,463
32,334
34,908
36,381
38,107
39,811
40,396
42,241
46,421
47,95
49,131
50,940
51,956
53,568
54,64
56,249
57,386
62,825
64,14
66,51
67,170
70,663
71,746
72,662
75,462
77,549
80,315
81,760
83,195
84,681
86,182
89,405
91,631
92,788
93,90
94,932
96,751
