Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,211,775
2,340,796
3,421,818
4,563,834
5,77,839
6,568,864
7,295,871
8,263,919
9,265,922
10,178,948
11,977,954
12,953,956
13,836,958
14,743,992
15,199,995
