Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, BER_it_50, BER_it_51, BER_it_52, BER_it_53, BER_it_54, BER_it_55, BER_it_56, BER_it_57, BER_it_58, BER_it_59, BER_it_60, BER_it_61, BER_it_62, BER_it_63, BER_it_64, BER_it_65, BER_it_66, BER_it_67, BER_it_68, BER_it_69, BER_it_70, BER_it_71, BER_it_72, BER_it_73, BER_it_74, BER_it_75, BER_it_76, BER_it_77, BER_it_78, BER_it_79, BER_it_80, BER_it_81, BER_it_82, BER_it_83, BER_it_84, BER_it_85, BER_it_86, BER_it_87, BER_it_88, BER_it_89, BER_it_90, BER_it_91, BER_it_92, BER_it_93, BER_it_94, BER_it_95, BER_it_96, BER_it_97, BER_it_98, BER_it_99, BER_it_100, BER_it_101, BER_it_102, BER_it_103, BER_it_104, BER_it_105, BER_it_106, BER_it_107, BER_it_108, BER_it_109, BER_it_110, BER_it_111, BER_it_112, BER_it_113, BER_it_114, BER_it_115, BER_it_116, BER_it_117, BER_it_118, BER_it_119, BER_it_120, BER_it_121, BER_it_122, BER_it_123, BER_it_124, BER_it_125, BER_it_126, BER_it_127, BER_it_128, BER_it_129, BER_it_130, BER_it_131, BER_it_132, BER_it_133, BER_it_134, BER_it_135, BER_it_136, BER_it_137, BER_it_138, BER_it_139, BER_it_140, BER_it_141, BER_it_142, BER_it_143, BER_it_144, BER_it_145, BER_it_146, BER_it_147, BER_it_148, BER_it_149, BER_it_150, BER_it_151, BER_it_152, BER_it_153, BER_it_154, BER_it_155, BER_it_156, BER_it_157, BER_it_158, BER_it_159, BER_it_160, BER_it_161, BER_it_162, BER_it_163, BER_it_164, BER_it_165, BER_it_166, BER_it_167, BER_it_168, BER_it_169, BER_it_170, BER_it_171, BER_it_172, BER_it_173, BER_it_174, BER_it_175, BER_it_176, BER_it_177, BER_it_178, BER_it_179, BER_it_180, BER_it_181, BER_it_182, BER_it_183, BER_it_184, BER_it_185, BER_it_186, BER_it_187, BER_it_188, BER_it_189, BER_it_190, BER_it_191, BER_it_192, BER_it_193, BER_it_194, BER_it_195, BER_it_196, BER_it_197, BER_it_198, BER_it_199, 
1, 0.709804, 0.502941, 0.348039, 0.307647, 0.282941, 0.273725, 0.264118, 0.257451, 0.255098, 0.253529, 0.25, 0.256471, 0.258627, 0.257059, 0.25902, 0.259608, 0.26, 0.264314, 0.26549, 0.267255, 0.267843, 0.26902, 0.269608, 0.270784, 0.27098, 0.27098, 0.270196, 0.273333, 0.274902, 0.278824, 0.280392, 0.278627, 0.277451, 0.278627, 0.278431, 0.278627, 0.278824, 0.27902, 0.28, 0.278627, 0.279608, 0.278431, 0.279412, 0.279608, 0.278627, 0.278039, 0.278627, 0.278235, 0.278039, 0.278039, 0.279216, 0.278824, 0.278627, 0.279608, 0.281176, 0.281176, 0.282941, 0.281373, 0.280588, 0.28098, 0.281765, 0.279804, 0.282745, 0.281961, 0.282353, 0.282549, 0.283137, 0.283529, 0.281765, 0.281765, 0.283137, 0.280392, 0.28098, 0.281373, 0.281961, 0.28, 0.281569, 0.281961, 0.281569, 0.280588, 0.279412, 0.281176, 0.283725, 0.283333, 0.283333, 0.283137, 0.284118, 0.285098, 0.28451, 0.28549, 0.283333, 0.283725, 0.283725, 0.284902, 0.283725, 0.283137, 0.284314, 0.282549, 0.282353, 0.283333, 0.28451, 0.284118, 0.28451, 0.285098, 0.28549, 0.284902, 0.284706, 0.285686, 0.28549, 0.284902, 0.284118, 0.284706, 0.282549, 0.282745, 0.283529, 0.283922, 0.28451, 0.283922, 0.284118, 0.284118, 0.283529, 0.282745, 0.284314, 0.284314, 0.284706, 0.28451, 0.28451, 0.28451, 0.284314, 0.283333, 0.283333, 0.283725, 0.284314, 0.283333, 0.284118, 0.283529, 0.28451, 0.284118, 0.285098, 0.283922, 0.283529, 0.284118, 0.283529, 0.283725, 0.283529, 0.282745, 0.283137, 0.283725, 0.283333, 0.283137, 0.284314, 0.28451, 0.286275, 0.286078, 0.284118, 0.283529, 0.283333, 0.281961, 0.283333, 0.282745, 0.282941, 0.282745, 0.282745, 0.283137, 0.281961, 0.282745, 0.282745, 0.283137, 0.282549, 0.282157, 0.281961, 0.282353, 0.282941, 0.281961, 0.282549, 0.284118, 0.283725, 0.284706, 0.28451, 0.284118, 0.284118, 0.28451, 0.283333, 0.283137, 0.283333, 0.283333, 0.281765, 0.283137, 0.283725, 0.283529, 0.283529, 0.283137, 0.282745, 0.282353, 0.283529, 0.283333, 0.283137, 0.282745, 0.283529, 0.283137, 0.283333, 
1.2, 0.537088, 0.493269, 0.334478, 0.291484, 0.268407, 0.24794, 0.23544, 0.233654, 0.222802, 0.221841, 0.21511, 0.213874, 0.208791, 0.209753, 0.204533, 0.206593, 0.204808, 0.204533, 0.212637, 0.211538, 0.210302, 0.20783, 0.208791, 0.209341, 0.211813, 0.210165, 0.213462, 0.211264, 0.21456, 0.214973, 0.214973, 0.213324, 0.213187, 0.213462, 0.212912, 0.212225, 0.212912, 0.216758, 0.217033, 0.217445, 0.214835, 0.214973, 0.215797, 0.214973, 0.21511, 0.214286, 0.213462, 0.214011, 0.213874, 0.21456, 0.216071, 0.217033, 0.21717, 0.217582, 0.216896, 0.216758, 0.216758, 0.217033, 0.217995, 0.218132, 0.217857, 0.218269, 0.21772, 0.216758, 0.216209, 0.216758, 0.215797, 0.216621, 0.216621, 0.216071, 0.216209, 0.216346, 0.215934, 0.216896, 0.216209, 0.21511, 0.216071, 0.215385, 0.213874, 0.215522, 0.216071, 0.215522, 0.215659, 0.215934, 0.214286, 0.214973, 0.215522, 0.215247, 0.215247, 0.215522, 0.214835, 0.21456, 0.214148, 0.214698, 0.214148, 0.214835, 0.217033, 0.215385, 0.214698, 0.215247, 0.215385, 0.215659, 0.215797, 0.217033, 0.21717, 0.215522, 0.215659, 0.215659, 0.214011, 0.213187, 0.215247, 0.214698, 0.215385, 0.214698, 0.215659, 0.215247, 0.215247, 0.216484, 0.215659, 0.214011, 0.215522, 0.217033, 0.217582, 0.217445, 0.216896, 0.21717, 0.216758, 0.216209, 0.21772, 0.217857, 0.216484, 0.216071, 0.216758, 0.216071, 0.216621, 0.216071, 0.217445, 0.216896, 0.216484, 0.216621, 0.216071, 0.216071, 0.21717, 0.216484, 0.216209, 0.215385, 0.216209, 0.215659, 0.214973, 0.216484, 0.215385, 0.216346, 0.215247, 0.217308, 0.217582, 0.216621, 0.216071, 0.217308, 0.216896, 0.216209, 0.217033, 0.216621, 0.216758, 0.21772, 0.218407, 0.21772, 0.217995, 0.21772, 0.217445, 0.21772, 0.217033, 0.216896, 0.216621, 0.216209, 0.216071, 0.216621, 0.216209, 0.21511, 0.215247, 0.215797, 0.216071, 0.214835, 0.216346, 0.215385, 0.215797, 0.215659, 0.216071, 0.216621, 0.216758, 0.216896, 0.216071, 0.214698, 0.216621, 0.215522, 0.215385, 0.215659, 0.216346, 0.215247, 0.216071, 0.216071, 0.216758, 
1.4, 0.370309, 0.495913, 0.319016, 0.276397, 0.243703, 0.221351, 0.203586, 0.192244, 0.183069, 0.171309, 0.170058, 0.167306, 0.169558, 0.169808, 0.169308, 0.173478, 0.175313, 0.175063, 0.176981, 0.178649, 0.1804, 0.181735, 0.182902, 0.181401, 0.183236, 0.183736, 0.183903, 0.184904, 0.185988, 0.186072, 0.186739, 0.186739, 0.18824, 0.18749, 0.18799, 0.186739, 0.18749, 0.186155, 0.184904, 0.18457, 0.184987, 0.184987, 0.186322, 0.186572, 0.186155, 0.185071, 0.186155, 0.185905, 0.186822, 0.18774, 0.188824, 0.188657, 0.188824, 0.189158, 0.189074, 0.18774, 0.187656, 0.18774, 0.188073, 0.188157, 0.188991, 0.189158, 0.189408, 0.190075, 0.189491, 0.189658, 0.189491, 0.189408, 0.188657, 0.18849, 0.189241, 0.188824, 0.189241, 0.188907, 0.188407, 0.188824, 0.187907, 0.188907, 0.188574, 0.188907, 0.188407, 0.188407, 0.188574, 0.189241, 0.189074, 0.189575, 0.189324, 0.189241, 0.189575, 0.188407, 0.188407, 0.188824, 0.188657, 0.188657, 0.188073, 0.18824, 0.188073, 0.18799, 0.189324, 0.188574, 0.189324, 0.189324, 0.190075, 0.189658, 0.189658, 0.189658, 0.190075, 0.191576, 0.190909, 0.190659, 0.190325, 0.190409, 0.191076, 0.190575, 0.190742, 0.190909, 0.190909, 0.191743, 0.191743, 0.190742, 0.191159, 0.190409, 0.190742, 0.190575, 0.190742, 0.190659, 0.190742, 0.190659, 0.190242, 0.190409, 0.190909, 0.190659, 0.189575, 0.189074, 0.189658, 0.189825, 0.189158, 0.190492, 0.189741, 0.189992, 0.189741, 0.190492, 0.190158, 0.190992, 0.189825, 0.190659, 0.190242, 0.190409, 0.191076, 0.190158, 0.189241, 0.190325, 0.189992, 0.189491, 0.189491, 0.190242, 0.189992, 0.190826, 0.189408, 0.190158, 0.190826, 0.190325, 0.190492, 0.189825, 0.189908, 0.189908, 0.190659, 0.19141, 0.190575, 0.189825, 0.189825, 0.190242, 0.190659, 0.189992, 0.189408, 0.189241, 0.188991, 0.189658, 0.189575, 0.190075, 0.189741, 0.189741, 0.189741, 0.189575, 0.189741, 0.189908, 0.189992, 0.190409, 0.190659, 0.190909, 0.190575, 0.191076, 0.190325, 0.190742, 0.190826, 0.190742, 0.190325, 0.190242, 0.189825, 0.189324, 0.190492, 
1.6, 0.289227, 0.496021, 0.308091, 0.257488, 0.222709, 0.194055, 0.172463, 0.160259, 0.1519, 0.148949, 0.147653, 0.151363, 0.157979, 0.16084, 0.165266, 0.166652, 0.170273, 0.170809, 0.170586, 0.173536, 0.173625, 0.176486, 0.177649, 0.17671, 0.178409, 0.179169, 0.17975, 0.180018, 0.180376, 0.180286, 0.181135, 0.18194, 0.182119, 0.182611, 0.182611, 0.182611, 0.182164, 0.18203, 0.182253, 0.182208, 0.183192, 0.184667, 0.184131, 0.185025, 0.185874, 0.186008, 0.185248, 0.185159, 0.18565, 0.184533, 0.18489, 0.185159, 0.185293, 0.183952, 0.184801, 0.184309, 0.184443, 0.184846, 0.184667, 0.184667, 0.184578, 0.183907, 0.184935, 0.184309, 0.185159, 0.184578, 0.184712, 0.184086, 0.185069, 0.183907, 0.18422, 0.184354, 0.184712, 0.184488, 0.184578, 0.182655, 0.183952, 0.184041, 0.183818, 0.18346, 0.183728, 0.183862, 0.183773, 0.183684, 0.184801, 0.183594, 0.183952, 0.184086, 0.184399, 0.18422, 0.184086, 0.184533, 0.183996, 0.183996, 0.183996, 0.183013, 0.183684, 0.183281, 0.184131, 0.183996, 0.183907, 0.184041, 0.184354, 0.183818, 0.183907, 0.183728, 0.183773, 0.184131, 0.184354, 0.18346, 0.183728, 0.183147, 0.182968, 0.182968, 0.182521, 0.181761, 0.182477, 0.182924, 0.182745, 0.183058, 0.183326, 0.183371, 0.183862, 0.183952, 0.184667, 0.183728, 0.184354, 0.18346, 0.183907, 0.183952, 0.184086, 0.184086, 0.18422, 0.184354, 0.184622, 0.184712, 0.184175, 0.184578, 0.184041, 0.183728, 0.183102, 0.182789, 0.183326, 0.183326, 0.183371, 0.183549, 0.183013, 0.183639, 0.182745, 0.183281, 0.183281, 0.183773, 0.184131, 0.183684, 0.183549, 0.183594, 0.183952, 0.184131, 0.183684, 0.183818, 0.183728, 0.183505, 0.184041, 0.183505, 0.183639, 0.183996, 0.182834, 0.184131, 0.184265, 0.184041, 0.18422, 0.183639, 0.184712, 0.184846, 0.184667, 0.183773, 0.184488, 0.183952, 0.183818, 0.183236, 0.184086, 0.183326, 0.183996, 0.183952, 0.183728, 0.182968, 0.183013, 0.183594, 0.183773, 0.183684, 0.183549, 0.184175, 0.184309, 0.184533, 0.184086, 0.183594, 0.184846, 0.183639, 0.184265, 0.184086, 0.184443, 
1.8, 0.205687, 0.498578, 0.294267, 0.236409, 0.198346, 0.169, 0.147752, 0.131309, 0.123845, 0.123459, 0.126889, 0.132236, 0.134832, 0.139515, 0.143085, 0.145248, 0.149312, 0.151708, 0.15384, 0.154999, 0.155911, 0.157441, 0.157487, 0.157735, 0.15809, 0.158507, 0.157982, 0.158724, 0.158724, 0.158384, 0.159156, 0.158847, 0.159017, 0.158971, 0.159326, 0.159512, 0.159434, 0.159527, 0.159326, 0.159697, 0.159759, 0.159403, 0.159604, 0.15928, 0.159666, 0.159743, 0.159558, 0.159697, 0.159234, 0.159743, 0.159944, 0.160145, 0.160346, 0.160717, 0.160068, 0.15996, 0.160022, 0.159975, 0.160083, 0.160083, 0.160037, 0.160068, 0.160083, 0.160083, 0.160114, 0.160192, 0.160114, 0.159682, 0.159759, 0.159774, 0.160037, 0.159836, 0.159883, 0.159898, 0.159883, 0.160223, 0.160037, 0.160161, 0.16013, 0.160006, 0.159991, 0.159913, 0.159682, 0.159651, 0.159512, 0.159465, 0.159913, 0.159651, 0.159774, 0.15996, 0.159496, 0.159929, 0.160006, 0.160022, 0.159883, 0.159929, 0.159728, 0.159867, 0.160022, 0.159821, 0.159682, 0.159852, 0.159759, 0.159944, 0.159975, 0.160114, 0.160006, 0.159635, 0.159512, 0.160253, 0.159913, 0.159805, 0.159867, 0.159821, 0.159913, 0.159728, 0.159728, 0.159836, 0.159883, 0.159867, 0.159373, 0.159527, 0.159883, 0.159883, 0.15945, 0.159682, 0.159666, 0.159898, 0.159883, 0.15962, 0.159929, 0.15979, 0.159759, 0.160022, 0.159774, 0.160501, 0.160315, 0.160346, 0.16013, 0.160022, 0.160238, 0.160192, 0.160269, 0.159991, 0.159697, 0.159852, 0.15962, 0.160022, 0.160423, 0.159852, 0.159774, 0.159713, 0.159774, 0.159651, 0.159867, 0.159682, 0.159558, 0.159975, 0.160053, 0.159898, 0.159682, 0.160099, 0.160006, 0.160022, 0.159434, 0.159682, 0.159852, 0.159682, 0.160068, 0.159944, 0.160006, 0.159975, 0.160006, 0.160006, 0.159759, 0.159604, 0.160207, 0.159883, 0.159728, 0.159434, 0.159821, 0.159373, 0.160006, 0.160068, 0.159852, 0.159852, 0.160037, 0.159944, 0.159944, 0.160192, 0.159805, 0.159635, 0.159651, 0.16013, 0.159929, 0.160053, 0.159867, 0.160068, 0.160238, 0.159821, 0.159898, 
2, 0.166344, 0.499406, 0.280937, 0.219017, 0.175979, 0.144051, 0.122187, 0.110285, 0.107718, 0.112543, 0.117487, 0.122505, 0.127325, 0.13037, 0.133702, 0.135863, 0.137186, 0.138503, 0.139752, 0.140683, 0.140867, 0.141157, 0.141558, 0.142028, 0.141959, 0.142148, 0.142098, 0.142406, 0.142337, 0.14218, 0.142475, 0.142415, 0.142337, 0.142535, 0.142475, 0.142452, 0.142632, 0.142885, 0.142973, 0.143024, 0.142881, 0.142876, 0.142964, 0.142968, 0.143005, 0.143005, 0.143056, 0.143014, 0.143033, 0.14307, 0.143259, 0.143176, 0.143199, 0.143249, 0.143176, 0.143236, 0.143217, 0.143245, 0.143116, 0.143226, 0.14318, 0.143167, 0.14319, 0.143097, 0.143139, 0.143014, 0.143084, 0.143084, 0.143001, 0.143047, 0.143001, 0.143005, 0.143093, 0.143074, 0.143033, 0.142982, 0.143033, 0.14313, 0.143084, 0.143061, 0.143084, 0.14307, 0.143042, 0.142968, 0.143107, 0.142945, 0.14307, 0.143024, 0.14301, 0.142978, 0.143074, 0.143065, 0.143019, 0.14307, 0.143051, 0.14307, 0.143111, 0.143061, 0.143148, 0.143111, 0.143111, 0.143176, 0.143185, 0.143084, 0.143111, 0.143157, 0.143061, 0.14301, 0.143047, 0.143176, 0.143051, 0.143079, 0.143074, 0.142973, 0.14307, 0.143093, 0.143019, 0.14307, 0.143263, 0.143162, 0.143167, 0.143199, 0.143157, 0.143167, 0.143093, 0.143033, 0.14295, 0.143074, 0.143001, 0.143116, 0.143074, 0.143051, 0.142918, 0.142932, 0.14295, 0.14301, 0.143148, 0.143231, 0.143162, 0.143176, 0.143061, 0.143093, 0.143176, 0.14313, 0.143097, 0.143125, 0.143001, 0.143065, 0.143047, 0.142996, 0.14307, 0.143065, 0.142964, 0.143074, 0.142991, 0.143097, 0.142996, 0.143093, 0.143028, 0.142991, 0.143097, 0.14313, 0.143028, 0.143028, 0.143038, 0.143051, 0.142964, 0.142932, 0.142853, 0.142913, 0.142973, 0.143038, 0.143019, 0.143005, 0.142978, 0.143028, 0.142964, 0.142987, 0.14295, 0.142899, 0.143005, 0.143047, 0.14295, 0.143033, 0.142908, 0.143028, 0.143047, 0.143056, 0.142918, 0.142959, 0.142955, 0.14295, 0.142945, 0.143065, 0.142996, 0.143014, 0.143088, 0.14307, 0.143125, 0.143273, 0.143028, 
2.2, 0.142589, 0.500535, 0.266853, 0.198315, 0.150724, 0.118137, 0.097834, 0.0920122, 0.095862, 0.103774, 0.110705, 0.116225, 0.119895, 0.122646, 0.124551, 0.125904, 0.126659, 0.127265, 0.127838, 0.128216, 0.128579, 0.128691, 0.1289, 0.129031, 0.129097, 0.12914, 0.12918, 0.129204, 0.129235, 0.129279, 0.129287, 0.129286, 0.129345, 0.129307, 0.129336, 0.129392, 0.129418, 0.129396, 0.129418, 0.129374, 0.12937, 0.129454, 0.129431, 0.129466, 0.129476, 0.129453, 0.129455, 0.129512, 0.129546, 0.129523, 0.129507, 0.129512, 0.129523, 0.129564, 0.129533, 0.129512, 0.129555, 0.129555, 0.129592, 0.129522, 0.129552, 0.129541, 0.129544, 0.129552, 0.12951, 0.129501, 0.12951, 0.129516, 0.129516, 0.129531, 0.12954, 0.129508, 0.129488, 0.129478, 0.1295, 0.1295, 0.129516, 0.129519, 0.129499, 0.12949, 0.129495, 0.129516, 0.129538, 0.129496, 0.129497, 0.129495, 0.129492, 0.129478, 0.129449, 0.129488, 0.129449, 0.129442, 0.129458, 0.12944, 0.129452, 0.129456, 0.12942, 0.129436, 0.129422, 0.12945, 0.129444, 0.129457, 0.129436, 0.129419, 0.129408, 0.129423, 0.129396, 0.129411, 0.129393, 0.129432, 0.129397, 0.129419, 0.129441, 0.129435, 0.129458, 0.129409, 0.129423, 0.12942, 0.129428, 0.12943, 0.12941, 0.129427, 0.129429, 0.129421, 0.129421, 0.129411, 0.129444, 0.129452, 0.129476, 0.12945, 0.129436, 0.129418, 0.129436, 0.12944, 0.129432, 0.129482, 0.129475, 0.129474, 0.129462, 0.129476, 0.129435, 0.129472, 0.129429, 0.129453, 0.129476, 0.129406, 0.12945, 0.129459, 0.129443, 0.129435, 0.129461, 0.129435, 0.129398, 0.129428, 0.12943, 0.129442, 0.129441, 0.129438, 0.129438, 0.129458, 0.129465, 0.129427, 0.129464, 0.129455, 0.12942, 0.129432, 0.129427, 0.129434, 0.129431, 0.129425, 0.129415, 0.129429, 0.129449, 0.129444, 0.129454, 0.129421, 0.129405, 0.129401, 0.129432, 0.129441, 0.129438, 0.129428, 0.12942, 0.12944, 0.129423, 0.129424, 0.129429, 0.129401, 0.129389, 0.1294, 0.129407, 0.129408, 0.129419, 0.129407, 0.129429, 0.129432, 0.129401, 0.129441, 0.12945, 0.129438, 0.12943, 
2.4, 0.124485, 0.500131, 0.251265, 0.177714, 0.127395, 0.0949005, 0.0800219, 0.0814443, 0.0899758, 0.0981437, 0.104157, 0.108026, 0.110497, 0.112086, 0.113147, 0.113769, 0.114193, 0.114478, 0.114696, 0.114851, 0.114935, 0.115013, 0.115101, 0.115159, 0.115193, 0.115209, 0.11523, 0.115234, 0.115247, 0.115258, 0.115275, 0.115282, 0.115295, 0.115308, 0.115305, 0.115299, 0.115306, 0.115315, 0.115315, 0.115329, 0.115345, 0.115337, 0.115339, 0.115338, 0.11534, 0.115339, 0.115333, 0.115336, 0.115331, 0.115339, 0.115346, 0.115343, 0.11534, 0.115344, 0.115353, 0.115354, 0.115355, 0.115353, 0.115356, 0.115354, 0.115356, 0.115361, 0.115359, 0.115355, 0.115366, 0.115358, 0.11536, 0.115364, 0.11536, 0.115365, 0.115359, 0.115345, 0.115368, 0.115368, 0.115365, 0.115364, 0.115365, 0.115365, 0.115369, 0.115368, 0.115366, 0.115361, 0.115374, 0.115373, 0.115369, 0.115363, 0.115365, 0.115365, 0.115362, 0.115364, 0.115364, 0.115368, 0.115375, 0.115374, 0.115372, 0.11537, 0.11537, 0.115373, 0.115382, 0.115376, 0.115372, 0.115367, 0.115367, 0.115367, 0.115369, 0.115368, 0.11537, 0.115377, 0.115375, 0.115365, 0.115366, 0.115365, 0.115373, 0.115372, 0.115373, 0.115356, 0.115364, 0.115373, 0.115368, 0.115369, 0.115373, 0.115371, 0.115376, 0.115382, 0.115373, 0.115371, 0.115365, 0.11537, 0.115365, 0.11537, 0.115368, 0.115363, 0.115367, 0.115368, 0.11537, 0.115367, 0.11537, 0.115367, 0.115377, 0.115369, 0.115367, 0.115374, 0.115371, 0.115375, 0.115371, 0.115371, 0.115375, 0.11537, 0.115374, 0.11538, 0.115371, 0.11537, 0.115371, 0.115379, 0.115372, 0.115382, 0.115378, 0.115377, 0.115378, 0.11538, 0.115374, 0.11538, 0.115381, 0.115378, 0.115372, 0.115376, 0.115374, 0.115373, 0.115382, 0.115377, 0.115378, 0.115378, 0.115379, 0.115374, 0.115374, 0.115382, 0.115378, 0.115372, 0.115365, 0.115368, 0.115374, 0.115367, 0.115376, 0.115377, 0.115368, 0.115376, 0.11537, 0.115376, 0.115378, 0.115376, 0.115372, 0.115371, 0.115372, 0.115372, 0.115366, 0.115365, 0.115366, 0.115367, 0.11537, 0.115364, 0.115367, 
2.6, 0.109565, 0.500002, 0.236382, 0.158406, 0.106479, 0.0769133, 0.0695205, 0.0763317, 0.0852866, 0.0920098, 0.0961709, 0.0987012, 0.100147, 0.101043, 0.101593, 0.101933, 0.102168, 0.102324, 0.102444, 0.102531, 0.102593, 0.102635, 0.102672, 0.102702, 0.102728, 0.102747, 0.10276, 0.102775, 0.102787, 0.102797, 0.102809, 0.102816, 0.102822, 0.102831, 0.102836, 0.102845, 0.102848, 0.10285, 0.102856, 0.102861, 0.102864, 0.102865, 0.102869, 0.10287, 0.102875, 0.102876, 0.102879, 0.102881, 0.102883, 0.102883, 0.102884, 0.102887, 0.102889, 0.102889, 0.102891, 0.10289, 0.10289, 0.102893, 0.102892, 0.102893, 0.102895, 0.102895, 0.102895, 0.102897, 0.102899, 0.102898, 0.102898, 0.102898, 0.102898, 0.102901, 0.1029, 0.102901, 0.102901, 0.102902, 0.102901, 0.102903, 0.102903, 0.102902, 0.102902, 0.102903, 0.102903, 0.102903, 0.102904, 0.102904, 0.102903, 0.102905, 0.102905, 0.102905, 0.102905, 0.102905, 0.102905, 0.102906, 0.102906, 0.102907, 0.102908, 0.102908, 0.102909, 0.102906, 0.102907, 0.102907, 0.102908, 0.102908, 0.102907, 0.102908, 0.102908, 0.102908, 0.102908, 0.102909, 0.102908, 0.102909, 0.10291, 0.102909, 0.102909, 0.10291, 0.10291, 0.10291, 0.10291, 0.102911, 0.10291, 0.10291, 0.10291, 0.102912, 0.102912, 0.102912, 0.102911, 0.102911, 0.102911, 0.102911, 0.102911, 0.10291, 0.102909, 0.10291, 0.102911, 0.102911, 0.102911, 0.102911, 0.102912, 0.102912, 0.102912, 0.102912, 0.102912, 0.102913, 0.102912, 0.102912, 0.102913, 0.102912, 0.102913, 0.102913, 0.102913, 0.102913, 0.102914, 0.102913, 0.102912, 0.102914, 0.102914, 0.102914, 0.102914, 0.102913, 0.102913, 0.102913, 0.102913, 0.102913, 0.102912, 0.102914, 0.102915, 0.102914, 0.102914, 0.102914, 0.102914, 0.102914, 0.102914, 0.102914, 0.102914, 0.102914, 0.102915, 0.102915, 0.102916, 0.102916, 0.102916, 0.102916, 0.102916, 0.102916, 0.102915, 0.102916, 0.102915, 0.102916, 0.102916, 0.102914, 0.102915, 0.102915, 0.102916, 0.102916, 0.102917, 0.102916, 0.102916, 0.102917, 0.102916, 0.102916, 0.102916, 0.102917, 0.102917, 
