Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,51,754
2,573,768
3,320,803
4,961,813
5,1001,839
6,305,845
7,817,846
8,916,859
9,612,875
10,903,879
11,964,885
12,560,912
13,741,939
14,588,975
15,56,1008
