Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,210,361
2,531,362
3,488,363
4,682,364
5,743,365
6,295,366
7,714,367
8,690,368
9,185,369
10,144,370
11,540,371
12,982,372
13,387,373
14,623,374
15,245,375
