SNR, Throughput
-7, 0
-6.5, 0
-6, 0.0195556
-5.5, 0.100222
-5, 0.227333
-4.5, 0.283556
-4, 0.427778
-3.5, 0.488889
-3, 0.488889
-2.5, 0.488889
-2, 0.488889
-1.5, 0.488889
-1, 0.488889
-0.5, 0.488889
0, 0.490541
0.5, 0.534862
1, 0.648718
1.5, 0.733333
2, 0.733333
