SNR, Throughput
-2.5, 0
-2,0.00165
-1.5,0.0306518
-1, 0.26842
-0.5, 0.529991
0, 0.566125
0.5,  0.570384
1, 0.573839
1.5, 0.575125
2, 0.576277
2.5, 0.576518
3, 0.576759
