SNR,Throught
-2, 0
-1.75, 0.0109524
-1.5, 0.027381
-1.25, 0.174762
-1, 0.252145
-0.75, 0.440191
-0.5, 0.542558
-0.25, 0.558308
0, 0.585648
0.25, 0.597713
0.5, 0.603358
0.75, 0.604627
1, 0.604627
1.25, 0.605263
1.5, 0.605263
1.75, 0.605263
2, 0.605263
2.25, 0.605263
2.5, 0.605263
2.75, 0.605263
3, 0.605263
