SNR, Throughput
-5 ,0.0680162
-4.5 ,0.259185
-4, 0.332612
-3.5,0.339531
-3 ,0.343106
-2.5 ,0.346111
-2 ,0.349433
-1.5 ,0.352672
-1 ,0.353888
-0.5, 0.354731
