SNR,Throught
-7, 0
-6.5, 0
-6, 0.00739683
-5.5, 0.0688889
-5, 0.213537
-4.5, 0.249281
-4, 0.270117
-3.5, 0.311349
-3, 0.333291
-2.5, 0.352515
-2, 0.359626
-1.5, 0.364956
-1, 0.374319
-0.5, 0.374319
0, 0.377889
0.5, 0.471127
1, 0.640166
1.5, 0.733333
2, 0.733333
