SNR,Throught
-4.5, 0
-4.25, 0
-4, 0
-3.75, 0
-3.5, 0
-3.25, 0.0256667
-3, 0.0935
-2.75, 0.194423
-2.5, 0.308536
-2.25, 0.352804
-2, 0.367601
-1.75, 0.370238
-1.5, 0.371131
-1.25, 0.373631
-1, 0.376845
-0.75, 0.377202
-0.5, 0.379524
-0.25, 0.379881
0, 0.380863
0.25, 0.381935
0.5, 0.382917
0.75, 0.392827
1, 0.409626
1.25, 0.453023
1.5, 0.541235
1.75, 0.639713
2, 0.696965
2.25, 0.726426
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
