Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,652,170
2,705,175
3,431,178
4,401,180
5,998,184
6,39,190
7,898,200
8,927,211
9,814,213
10,103,228
11,283,237
12,363,239
13,704,241
14,144,243
15,746,249
16,112,251
17,679,252
18,531,253
19,799,263
20,740,273
21,916,285
22,903,286
23,361,294
24,721,298
25,215,305
26,31,308
27,766,311
28,536,316
29,514,323
30,917,327
31,634,330
32,642,337
