Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,895,302
2,568,304
3,938,307
4,996,309
5,622,311
6,155,313
7,950,316
8,630,336
9,907,339
10,465,348
11,643,354
12,109,358
13,947,389
14,676,408
15,141,461
16,732,551
