SNR,Throught
-4, 0.11
-3.5, 0.287286
-3, 0.361905
-2.5, 0.372667
-2, 0.377381
-1.5, 0.381452
-1, 0.384024
-0.5, 0.384881
0, 0.386381
0.5, 0.451423
1, 0.659354
1.5, 0.733333
2, 0.733333
2.5, 0.733333
3, 0.733333
3.5, 0.733333
4, 0.733333
4.5, 0.733333
5, 0.733333
5.5, 0.733333
6, 0.733333
