SNR,Throught
-4.5, 0.0055
-4.25, 0.0403333
-4, 0.168667
-3.75, 0.24944
-3.5, 0.311881
-3.25, 0.362345
-3, 0.368595
-2.75, 0.369667
-2.5, 0.372774
-2.25, 0.373202
-2, 0.37631
-1.75, 0.376738
-1.5, 0.378131
-1.25, 0.380488
-1, 0.382845
-0.75, 0.383488
-0.5, 0.384024
-0.25, 0.385524
0, 0.388545
0.25, 0.399765
0.5, 0.423862
0.75, 0.495066
1, 0.579859
1.25, 0.662118
1.5, 0.719795
1.75, 0.723129
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
