SNR, Throughput
-2, 0.050569
-1.75, 0.064469
-1.5, 0.117019
-1.25, 0.218919
-1, 0.361419
-0.75, 0.468269
-0.5, 0.523269
-0.25, 0.541719
0, 0.547069
0.25, 0.547569
0.5, 0.547619
0.75, 0.547619
1, 0.547619
1.25, 0.547619
1.5, 0.547619
1.75, 0.547619
2, 0.547619
2.25, 0.547619
2.5, 0.547619
2.75, 0.547619
3, 0.547619
