Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, BER_it_50, BER_it_51, BER_it_52, BER_it_53, BER_it_54, BER_it_55, BER_it_56, BER_it_57, BER_it_58, BER_it_59, BER_it_60, BER_it_61, BER_it_62, BER_it_63, BER_it_64, BER_it_65, BER_it_66, BER_it_67, BER_it_68, BER_it_69, BER_it_70, BER_it_71, BER_it_72, BER_it_73, BER_it_74, BER_it_75, BER_it_76, BER_it_77, BER_it_78, BER_it_79, BER_it_80, BER_it_81, BER_it_82, BER_it_83, BER_it_84, BER_it_85, BER_it_86, BER_it_87, BER_it_88, BER_it_89, BER_it_90, BER_it_91, BER_it_92, BER_it_93, BER_it_94, BER_it_95, BER_it_96, BER_it_97, BER_it_98, BER_it_99, BER_it_100, BER_it_101, BER_it_102, BER_it_103, BER_it_104, BER_it_105, BER_it_106, BER_it_107, BER_it_108, BER_it_109, BER_it_110, BER_it_111, BER_it_112, BER_it_113, BER_it_114, BER_it_115, BER_it_116, BER_it_117, BER_it_118, BER_it_119, BER_it_120, BER_it_121, BER_it_122, BER_it_123, BER_it_124, BER_it_125, BER_it_126, BER_it_127, BER_it_128, BER_it_129, BER_it_130, BER_it_131, BER_it_132, BER_it_133, BER_it_134, BER_it_135, BER_it_136, BER_it_137, BER_it_138, BER_it_139, BER_it_140, BER_it_141, BER_it_142, BER_it_143, BER_it_144, BER_it_145, BER_it_146, BER_it_147, BER_it_148, BER_it_149, BER_it_150, BER_it_151, BER_it_152, BER_it_153, BER_it_154, BER_it_155, BER_it_156, BER_it_157, BER_it_158, BER_it_159, BER_it_160, BER_it_161, BER_it_162, BER_it_163, BER_it_164, BER_it_165, BER_it_166, BER_it_167, BER_it_168, BER_it_169, BER_it_170, BER_it_171, BER_it_172, BER_it_173, BER_it_174, BER_it_175, BER_it_176, BER_it_177, BER_it_178, BER_it_179, BER_it_180, BER_it_181, BER_it_182, BER_it_183, BER_it_184, BER_it_185, BER_it_186, BER_it_187, BER_it_188, BER_it_189, BER_it_190, BER_it_191, BER_it_192, BER_it_193, BER_it_194, BER_it_195, BER_it_196, BER_it_197, BER_it_198, BER_it_199, 
1, 0.644928, 0.508696, 0.508696, 0.508696, 0.508696, 0.508696, 0.508696, 0.508696, 0.508696, 0.507729, 0.505797, 0.502899, 0.497826, 0.494807, 0.489855, 0.484541, 0.47814, 0.467512, 0.460145, 0.456039, 0.450362, 0.447585, 0.443841, 0.4407, 0.438164, 0.435266, 0.42814, 0.426932, 0.421498, 0.418478, 0.41558, 0.414976, 0.414734, 0.413527, 0.411594, 0.409662, 0.408696, 0.408575, 0.408213, 0.407126, 0.406884, 0.406401, 0.406522, 0.406522, 0.406522, 0.406522, 0.406522, 0.405797, 0.404106, 0.403986, 0.404106, 0.404106, 0.40314, 0.403019, 0.403019, 0.403019, 0.403019, 0.403019, 0.402295, 0.402295, 0.402174, 0.402174, 0.401329, 0.400242, 0.399034, 0.39843, 0.398188, 0.398188, 0.397585, 0.397343, 0.397464, 0.397464, 0.397222, 0.397101, 0.397101, 0.396739, 0.396498, 0.396377, 0.396256, 0.396256, 0.396135, 0.396256, 0.396256, 0.396135, 0.396256, 0.396014, 0.396256, 0.396256, 0.395773, 0.395652, 0.395652, 0.395531, 0.395531, 0.395652, 0.395652, 0.395652, 0.395652, 0.395773, 0.395773, 0.395531, 0.395411, 0.216908, 0.204831, 0.201087, 0.202657, 0.202174, 0.201329, 0.200725, 0.200725, 0.2, 0.200483, 0.199758, 0.199275, 0.199275, 0.198671, 0.199879, 0.200483, 0.201087, 0.200604, 0.2, 0.199758, 0.198792, 0.19843, 0.199275, 0.197705, 0.198309, 0.197343, 0.196739, 0.196981, 0.197222, 0.197222, 0.19843, 0.198792, 0.197826, 0.196618, 0.196498, 0.197947, 0.198792, 0.19843, 0.199396, 0.19843, 0.198188, 0.198068, 0.197947, 0.197947, 0.197222, 0.197464, 0.197585, 0.196377, 0.196739, 0.195652, 0.196981, 0.196618, 0.197947, 0.197705, 0.196739, 0.196256, 0.197705, 0.195652, 0.196498, 0.196498, 0.196256, 0.195773, 0.195894, 0.196498, 0.197705, 0.19686, 0.197947, 0.197705, 0.196498, 0.196377, 0.197222, 0.197101, 0.197222, 0.197222, 0.19686, 0.196377, 0.197101, 0.196498, 0.196739, 0.196739, 0.197585, 0.197705, 0.197947, 0.197101, 0.196377, 0.197222, 0.197101, 0.197101, 0.197585, 0.197464, 0.196498, 0.197101, 0.197464, 0.196981, 0.196377, 0.197343, 0.196256, 0.196739, 0.195531, 0.196256, 
1.25, 0.454444, 0.493852, 0.493852, 0.493852, 0.493852, 0.493852, 0.493852, 0.493852, 0.492222, 0.48837, 0.481259, 0.470296, 0.457481, 0.444667, 0.427852, 0.414889, 0.401704, 0.389037, 0.373037, 0.361556, 0.351852, 0.342815, 0.336222, 0.326815, 0.321481, 0.315778, 0.309556, 0.305778, 0.303407, 0.298741, 0.293778, 0.29163, 0.290519, 0.287556, 0.285259, 0.284296, 0.283556, 0.282296, 0.279778, 0.279185, 0.277111, 0.276519, 0.275333, 0.274741, 0.273704, 0.272074, 0.271481, 0.271037, 0.270074, 0.269481, 0.268593, 0.268074, 0.267481, 0.266222, 0.266148, 0.265259, 0.265259, 0.264519, 0.264741, 0.263407, 0.263111, 0.262296, 0.262148, 0.26163, 0.261185, 0.260963, 0.261111, 0.260667, 0.260444, 0.260222, 0.26037, 0.26037, 0.26037, 0.260148, 0.260296, 0.260148, 0.26037, 0.260519, 0.260519, 0.260074, 0.260222, 0.260148, 0.26037, 0.260444, 0.26037, 0.26, 0.260148, 0.25963, 0.259852, 0.259556, 0.259333, 0.258889, 0.259259, 0.258741, 0.258889, 0.258667, 0.258667, 0.258148, 0.258148, 0.258222, 0.257778, 0.148074, 0.14163, 0.137704, 0.135556, 0.133333, 0.133259, 0.133704, 0.133259, 0.132889, 0.133185, 0.133778, 0.133926, 0.132593, 0.132444, 0.130593, 0.132444, 0.132593, 0.132593, 0.131852, 0.132444, 0.132296, 0.132222, 0.131852, 0.131704, 0.13163, 0.132222, 0.132, 0.131926, 0.133111, 0.131852, 0.133111, 0.132444, 0.131481, 0.130889, 0.131407, 0.131037, 0.132444, 0.131778, 0.130963, 0.131037, 0.130519, 0.13037, 0.129926, 0.130222, 0.129852, 0.130815, 0.13037, 0.12963, 0.130222, 0.13, 0.129852, 0.131185, 0.130296, 0.131037, 0.130815, 0.13037, 0.130519, 0.13, 0.130815, 0.130074, 0.129556, 0.13037, 0.130519, 0.131185, 0.13037, 0.130222, 0.130963, 0.131556, 0.131185, 0.130074, 0.131259, 0.130519, 0.132148, 0.131556, 0.130963, 0.130815, 0.130963, 0.130741, 0.130222, 0.130741, 0.131852, 0.131556, 0.132074, 0.130963, 0.13037, 0.129852, 0.129852, 0.130148, 0.129333, 0.130963, 0.130593, 0.131556, 0.13037, 0.131556, 0.131481, 0.131778, 0.131926, 0.132667, 0.132074, 0.131778, 
1.5, 0.251078, 0.500682, 0.500682, 0.500682, 0.500682, 0.500682, 0.500036, 0.496228, 0.488182, 0.470295, 0.445474, 0.415086, 0.386818, 0.360812, 0.329095, 0.307399, 0.288865, 0.270797, 0.257795, 0.248168, 0.237428, 0.228879, 0.221767, 0.213973, 0.207184, 0.202694, 0.196588, 0.192924, 0.190158, 0.187572, 0.18556, 0.183908, 0.180675, 0.179418, 0.178448, 0.176724, 0.175395, 0.17421, 0.17227, 0.169828, 0.168642, 0.167672, 0.16717, 0.165733, 0.16523, 0.163685, 0.162787, 0.162105, 0.161566, 0.161458, 0.160596, 0.159231, 0.159303, 0.1588, 0.157974, 0.157902, 0.156968, 0.156394, 0.156106, 0.155711, 0.154418, 0.153987, 0.153592, 0.152802, 0.152407, 0.152227, 0.151796, 0.151329, 0.150718, 0.150036, 0.149856, 0.149713, 0.149749, 0.149713, 0.14921, 0.149246, 0.148922, 0.148779, 0.148635, 0.148599, 0.148671, 0.148815, 0.14903, 0.148671, 0.148851, 0.148851, 0.148671, 0.148312, 0.148132, 0.148132, 0.147845, 0.147917, 0.147953, 0.14824, 0.148096, 0.147989, 0.147989, 0.147737, 0.147773, 0.147737, 0.147665, 0.0853448, 0.0783046, 0.0762572, 0.0737428, 0.073204, 0.0728448, 0.0735991, 0.0728807, 0.0726652, 0.072306, 0.0727011, 0.0715517, 0.0716595, 0.0720905, 0.0721983, 0.0721983, 0.0722701, 0.0724497, 0.0727371, 0.0724856, 0.0715876, 0.0722342, 0.0717672, 0.0729526, 0.072342, 0.0720546, 0.0719828, 0.0724138, 0.0715876, 0.0719109, 0.0719468, 0.0716236, 0.0713362, 0.0718391, 0.0718391, 0.0713362, 0.070977, 0.0717672, 0.071444, 0.0717313, 0.0718032, 0.071875, 0.0713721, 0.0711207, 0.0720905, 0.0725934, 0.0729885, 0.0728089, 0.072342, 0.0721983, 0.0725575, 0.0725934, 0.0726652, 0.0724138, 0.0723779, 0.0710489, 0.0705101, 0.0716595, 0.071875, 0.0717672, 0.0717672, 0.0713003, 0.0709411, 0.070977, 0.0710489, 0.0713003, 0.071444, 0.0712284, 0.071444, 0.0715517, 0.0717313, 0.0715158, 0.0711566, 0.0713362, 0.0706537, 0.0716954, 0.0716595, 0.071444, 0.0717672, 0.0715876, 0.0714799, 0.072342, 0.071875, 0.0724138, 0.0712644, 0.0709052, 0.0707256, 0.0709411, 0.0703305, 0.0711925, 0.0706178, 0.0704023, 0.0713721, 0.0704741, 0.0703664, 0.0706897, 0.0708333, 0.0707974, 0.0707974, 0.0709052, 
1.75, 0.144008, 0.500468, 0.500468, 0.500468, 0.500468, 0.500311, 0.498037, 0.484878, 0.452171, 0.405148, 0.356924, 0.308395, 0.263319, 0.22738, 0.199305, 0.177104, 0.160956, 0.145923, 0.135555, 0.127207, 0.119691, 0.113585, 0.108416, 0.103963, 0.100089, 0.097542, 0.0945629, 0.0929207, 0.0910469, 0.0889836, 0.087752, 0.0856045, 0.0845834, 0.0834044, 0.0821833, 0.0813095, 0.0805095, 0.0794568, 0.0787936, 0.0775199, 0.0769725, 0.076183, 0.0752776, 0.0748145, 0.0745302, 0.0738986, 0.0735407, 0.073246, 0.0730459, 0.0724459, 0.0724775, 0.0721512, 0.0722354, 0.071309, 0.0713301, 0.0709827, 0.0707827, 0.0706564, 0.0708037, 0.0701721, 0.0703195, 0.0699826, 0.0700563, 0.0696247, 0.06993, 0.0696352, 0.0698774, 0.0690773, 0.0691089, 0.0688247, 0.0688878, 0.0685299, 0.0688352, 0.0684983, 0.0685404, 0.0679825, 0.0681194, 0.0679299, 0.0683194, 0.0678246, 0.0678351, 0.0674983, 0.067572, 0.0673825, 0.0678351, 0.0676457, 0.0678457, 0.0675825, 0.0677299, 0.0672983, 0.0672141, 0.0668667, 0.0670246, 0.0669088, 0.0670983, 0.0667509, 0.0669193, 0.0666246, 0.066793, 0.066593, 0.0668035, 0.0449497, 0.0435918, 0.0431181, 0.0427601, 0.0423917, 0.0424759, 0.0422443, 0.0422864, 0.0413917, 0.0417706, 0.0417706, 0.0424549, 0.041718, 0.0416969, 0.0414759, 0.0419285, 0.0412969, 0.0412653, 0.0412022, 0.0412022, 0.0410548, 0.0412337, 0.0413811, 0.0416232, 0.0412337, 0.0410758, 0.0406548, 0.0411495, 0.0406653, 0.0409285, 0.0407495, 0.0412232, 0.0411811, 0.0414759, 0.0409601, 0.0408969, 0.0406232, 0.0412232, 0.0406864, 0.0409916, 0.0407706, 0.0409601, 0.041118, 0.0407916, 0.0403811, 0.041139, 0.040739, 0.0415285, 0.0410548, 0.0412759, 0.0407706, 0.0413601, 0.0406969, 0.0408548, 0.0408021, 0.0409916, 0.0408864, 0.0409811, 0.0404548, 0.0406021, 0.0404653, 0.0407811, 0.0404337, 0.0409706, 0.0405284, 0.0406864, 0.0406548, 0.0407285, 0.0405179, 0.0410969, 0.0408127, 0.0407074, 0.0408653, 0.0409179, 0.0407811, 0.0410969, 0.0406758, 0.0407285, 0.0407495, 0.0409601, 0.0405074, 0.0406127, 0.04036, 0.0402126, 0.0402969, 0.0409811, 0.0408548, 0.0406969, 0.04036, 0.0408443, 0.0402442, 0.0403916, 0.0403074, 0.0406653, 0.0400653, 0.0406232, 0.0402021, 0.0403811, 0.0400337, 0.040539, 
2, 0.0895426, 0.4997, 0.4997, 0.4997, 0.4997, 0.498781, 0.486478, 0.446105, 0.378194, 0.305379, 0.241221, 0.189527, 0.150371, 0.123093, 0.103423, 0.0885178, 0.0781387, 0.0704503, 0.0645792, 0.0598188, 0.0558206, 0.0529608, 0.0506033, 0.0483038, 0.0468752, 0.0456333, 0.0443309, 0.043407, 0.0424378, 0.041514, 0.0407264, 0.0401333, 0.0394947, 0.0389192, 0.0385734, 0.0380458, 0.0377278, 0.0370842, 0.0367384, 0.036337, 0.0361603, 0.0359761, 0.0356202, 0.0351633, 0.0350422, 0.0348251, 0.0345777, 0.0342016, 0.0340931, 0.033818, 0.0337271, 0.0336261, 0.0336135, 0.0335024, 0.0335883, 0.0333182, 0.0332349, 0.0331213, 0.0330683, 0.0329547, 0.0329396, 0.0328159, 0.0328967, 0.0326644, 0.0326443, 0.032465, 0.0324726, 0.0323893, 0.03246, 0.0323262, 0.0323868, 0.0322808, 0.0322429, 0.0321722, 0.0321899, 0.0321192, 0.0321066, 0.031993, 0.0320158, 0.0319905, 0.0320713, 0.0319653, 0.0319653, 0.0317608, 0.0318441, 0.0317886, 0.0317861, 0.0317129, 0.0317482, 0.0315841, 0.0315336, 0.0315362, 0.03168, 0.0315286, 0.0314529, 0.0314377, 0.0314276, 0.0313847, 0.0314049, 0.0313519, 0.0313393, 0.025867, 0.0254808, 0.0253546, 0.0252461, 0.0251704, 0.0252411, 0.0250644, 0.0252007, 0.0250972, 0.0251022, 0.0249407, 0.0251729, 0.0250896, 0.0250543, 0.0249028, 0.0250038, 0.0248549, 0.0249508, 0.0248776, 0.0249937, 0.0249558, 0.0248826, 0.0249457, 0.0249255, 0.0247791, 0.0249079, 0.0248321, 0.0249053, 0.0248448, 0.0249836, 0.024764, 0.0248675, 0.0247489, 0.0248473, 0.0248347, 0.0248624, 0.0247438, 0.024817, 0.0247211, 0.0246832, 0.0247766, 0.0247892, 0.0246529, 0.0247716, 0.0247261, 0.0247968, 0.0248019, 0.0248599, 0.0247489, 0.0248044, 0.0246656, 0.024812, 0.0246605, 0.0247186, 0.0246529, 0.0247943, 0.0246555, 0.0246782, 0.0246302, 0.0247489, 0.024658, 0.0246933, 0.0246857, 0.0246883, 0.0246125, 0.0247261, 0.0246428, 0.024552, 0.024446, 0.0246252, 0.0245974, 0.0247034, 0.0247135, 0.0246656, 0.0246454, 0.024769, 0.0247665, 0.024663, 0.0245318, 0.0245747, 0.0245671, 0.0247009, 0.0246151, 0.024658, 0.0245671, 0.024552, 0.0245419, 0.0246933, 0.0245898, 0.0247564, 0.0246378, 0.0246681, 0.0247211, 0.0247236, 0.0245141, 0.0245924, 0.0246403, 0.0246555, 0.0247059, 0.0247615, 
2.25, 0.0625182, 0.499652, 0.499652, 0.499652, 0.499552, 0.493667, 0.452984, 0.365505, 0.266344, 0.185255, 0.129119, 0.0920407, 0.0690296, 0.0543715, 0.0447714, 0.0383792, 0.0341034, 0.0311265, 0.0290023, 0.0273342, 0.0260868, 0.025149, 0.0244888, 0.0238248, 0.0232524, 0.0228345, 0.0224208, 0.0220586, 0.0217881, 0.0215193, 0.0213, 0.0210916, 0.0208694, 0.0207117, 0.0205195, 0.020376, 0.0202159, 0.0201266, 0.0200215, 0.019957, 0.0198685, 0.0197588, 0.0196812, 0.0196086, 0.0195049, 0.0194174, 0.019301, 0.0192531, 0.0192541, 0.019233, 0.0191822, 0.0191233, 0.0190817, 0.0190785, 0.0190147, 0.0189921, 0.0189625, 0.0189254, 0.018911, 0.0188732, 0.0188799, 0.0188316, 0.0188327, 0.0188041, 0.0187734, 0.0187724, 0.0187555, 0.0187262, 0.0187255, 0.0186895, 0.0186789, 0.0186348, 0.0186521, 0.0186489, 0.0186239, 0.0186102, 0.018614, 0.0185731, 0.0185657, 0.0185576, 0.018558, 0.0185682, 0.0185573, 0.0185513, 0.0185386, 0.0185114, 0.0184832, 0.0184948, 0.0184881, 0.0184987, 0.0184902, 0.0184606, 0.0184708, 0.0184363, 0.0184275, 0.0184194, 0.018425, 0.0184243, 0.018407, 0.0184102, 0.0184049, 0.0174989, 0.01741, 0.017337, 0.0173331, 0.0173282, 0.01733, 0.0173116, 0.0173158, 0.0172929, 0.0172756, 0.0172675, 0.0172993, 0.0172823, 0.0173081, 0.0173388, 0.0173042, 0.0172845, 0.0172714, 0.0172559, 0.017288, 0.0172746, 0.0172492, 0.0172622, 0.0172732, 0.017257, 0.0172774, 0.0172555, 0.0172309, 0.0172351, 0.0172658, 0.0172439, 0.0172541, 0.0172467, 0.0172217, 0.017209, 0.0172584, 0.0171998, 0.0172111, 0.0172467, 0.017246, 0.0172365, 0.0172467, 0.0172086, 0.0172291, 0.0172146, 0.0172284, 0.0172227, 0.017203, 0.0172252, 0.0172153, 0.0172376, 0.0172503, 0.0172273, 0.0172397, 0.0172277, 0.0172044, 0.0172294, 0.0172407, 0.0172259, 0.0172242, 0.0171808, 0.0172111, 0.0171949, 0.0172189, 0.0172139, 0.0172227, 0.0172129, 0.0171998, 0.0172231, 0.0172143, 0.0171988, 0.0172002, 0.0172002, 0.0172076, 0.0171998, 0.0172153, 0.0172044, 0.0171847, 0.0171974, 0.017197, 0.0171952, 0.0171966, 0.0172164, 0.017221, 0.0172012, 0.0171864, 0.0171935, 0.0172224, 0.0172019, 0.0171892, 0.0171758, 0.0172009, 0.0172051, 0.0171966, 0.0171945, 0.0171903, 0.0171797, 0.0172026, 0.0172062, 0.0171847, 
2.5, 0.0473202, 0.500109, 0.500109, 0.500109, 0.499281, 0.476209, 0.384439, 0.257526, 0.156423, 0.0937346, 0.0588142, 0.0400562, 0.0299663, 0.0242463, 0.0208787, 0.0188128, 0.017492, 0.0166201, 0.016008, 0.0155778, 0.0152787, 0.0150213, 0.0148077, 0.0146338, 0.0144957, 0.0143878, 0.0142975, 0.0141989, 0.0141196, 0.0140609, 0.0140047, 0.0139442, 0.0139046, 0.0138652, 0.013826, 0.0137725, 0.0137402, 0.013712, 0.0136918, 0.0136553, 0.013631, 0.0136064, 0.0135863, 0.013567, 0.0135528, 0.0135418, 0.0135294, 0.0135146, 0.0135042, 0.01349, 0.0134824, 0.013463, 0.0134601, 0.0134559, 0.0134433, 0.0134353, 0.0134315, 0.0134164, 0.0134109, 0.0134066, 0.013412, 0.0134101, 0.013403, 0.0133922, 0.0133925, 0.013376, 0.0133794, 0.0133712, 0.0133807, 0.013369, 0.0133658, 0.0133636, 0.0133655, 0.0133505, 0.0133516, 0.0133464, 0.0133499, 0.0133455, 0.0133507, 0.0133336, 0.0133433, 0.0133312, 0.0133384, 0.0133269, 0.0133233, 0.0133185, 0.0133224, 0.0133141, 0.0133256, 0.0133185, 0.0133285, 0.0133082, 0.0133107, 0.013301, 0.0133104, 0.0133043, 0.0133037, 0.0133075, 0.0133057, 0.0132951, 0.0132976, 0.0131714, 0.0131653, 0.0131626, 0.0131566, 0.0131416, 0.0131582, 0.0131419, 0.0131462, 0.0131486, 0.0131587, 0.0131502, 0.0131477, 0.0131397, 0.0131439, 0.0131443, 0.0131532, 0.0131446, 0.0131467, 0.0131333, 0.0131397, 0.0131418, 0.0131375, 0.0131397, 0.0131553, 0.0131411, 0.0131406, 0.0131227, 0.0131321, 0.0131328, 0.0131295, 0.013138, 0.0131433, 0.0131387, 0.013146, 0.0131236, 0.0131297, 0.0131241, 0.0131317, 0.0131324, 0.0131337, 0.013135, 0.0131301, 0.0131223, 0.0131384, 0.0131269, 0.0131311, 0.0131225, 0.0131329, 0.0131271, 0.0131357, 0.0131204, 0.0131299, 0.0131175, 0.0131204, 0.0131229, 0.0131324, 0.0131302, 0.0131271, 0.0131175, 0.0131198, 0.0131205, 0.0131289, 0.0131185, 0.0131251, 0.013127, 0.0131261, 0.0131211, 0.0131265, 0.0131085, 0.0131207, 0.0131179, 0.0131201, 0.0131282, 0.0131308, 0.0131199, 0.0131185, 0.0131048, 0.0131181, 0.0131115, 0.0131227, 0.013118, 0.0131253, 0.0131154, 0.013124, 0.0131227, 0.0131325, 0.0131174, 0.0131257, 0.0131089, 0.0131166, 0.0131054, 0.0131111, 0.0131157, 0.0131197, 0.0131208, 0.0131258, 0.0131128, 0.0131232, 0.0131078, 0.0131027, 
