Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,538,937
2,189,940
3,609,942
4,283,943
5,660,944
6,694,945
7,756,963
8,462,971
9,110,972
10,250,975
11,922,1007
12,176,1008
13,830,1014
14,547,1015
15,1016,1017
