Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,685,417
2,480,430
3,921,458
4,107,526
5,754,552
6,745,603
7,572,648
8,189,706
9,608,758
10,309,797
11,139,832
12,220,834
13,904,919
14,74,992
15,254,1004
