Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,352,181
2,451,184
3,284,194
4,211,199
5,845,205
6,457,216
7,908,218
8,414,219
9,795,222
10,421,229
11,832,244
12,779,246
13,399,258
14,231,265
15,815,285
16,963,287
17,347,288
18,702,291
19,468,301
20,856,304
21,792,310
22,176,318
23,883,321
24,1000,322
25,547,327
26,904,332
27,622,335
28,157,340
29,210,355
30,428,357
31,771,365
32,847,376
