Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,15,178
2,45,184
3,181,190
4,662,251
5,743,253
6,659,263
7,468,273
8,561,294
9,313,298
10,757,305
11,202,308
12,699,311
13,196,370
14,387,375
15,637,379
