Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,1107,1550
2,1158,1618
3,1162,1621
4,1207,1651
5,1267,1663
6,1274,1695
7,1283,1744
8,1287,1764
9,1299,1765
10,1361,1766
11,1417,1778
12,1439,1783
13,1445,1818
14,1451,1870
15,1516,1876
16,1534,1893
