Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,1669,1801
2,1670,1803
3,1674,1813
4,1675,1814
5,1676,1817
6,1680,1881
7,1739,1882
8,1745,1883
9,1748,1885
10,1751,1890
11,1757,1894
12,1759,1895
13,1760,1896
14,1763,1898
15,1798,1902
16,1799,1903
