Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,693,770
2,269,786
3,488,788
4,414,824
5,614,864
6,817,878
7,131,884
8,839,904
9,858,905
10,369,908
11,444,926
12,585,978
13,717,982
14,757,984
15,774,997
16,401,1012
