SNR, Throughput
-4, 0
-3.5, 0.0396
-3, 0.264
-2.5, 0.44
-2, 0.45082
-1.5, 0.496614
-1, 0.540541
-0.5, 0.55
0, 0.55
0.5, 0.55
1, 0.55
