SNR, Throughput
-4, 0
-3.75, 0
-3.5, 0
-3.25, 0
-3, 0.00275
-2.75, 0.0311667
-2.5, 0.120083
-2.25, 0.264917
-2, 0.32725
-1.75, 0.355667
-1.5, 0.363
-1.25, 0.366667
-1, 0.36575
-0.75, 0.366667
-0.5, 0.366667
-0.25, 0.366667
0, 0.368973
0.25, 0.378984
0.5, 0.395861
0.75, 0.466349
1, 0.566281
1.25, 0.651852
1.5, 0.70008
1.75, 0.722496
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
