Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,713,754
2,220,795
3,60,808
4,762,823
5,515,825
6,495,848
7,924,851
8,625,882
9,633,890
10,878,944
11,822,947
12,589,954
13,205,958
14,261,995
15,906,1012
