Eb_over_N0, frame_error_rate, BER_it_0, BER_it_1, BER_it_2, BER_it_3, BER_it_4, BER_it_5, BER_it_6, BER_it_7, BER_it_8, BER_it_9, BER_it_10, BER_it_11, BER_it_12, BER_it_13, BER_it_14, BER_it_15, BER_it_16, BER_it_17, BER_it_18, BER_it_19, BER_it_20, BER_it_21, BER_it_22, BER_it_23, BER_it_24, BER_it_25, BER_it_26, BER_it_27, BER_it_28, BER_it_29, BER_it_30, BER_it_31, BER_it_32, BER_it_33, BER_it_34, BER_it_35, BER_it_36, BER_it_37, BER_it_38, BER_it_39, BER_it_40, BER_it_41, BER_it_42, BER_it_43, BER_it_44, BER_it_45, BER_it_46, BER_it_47, BER_it_48, BER_it_49, BER_it_50, BER_it_51, BER_it_52, BER_it_53, BER_it_54, BER_it_55, BER_it_56, BER_it_57, BER_it_58, BER_it_59, BER_it_60, BER_it_61, BER_it_62, BER_it_63, BER_it_64, BER_it_65, BER_it_66, BER_it_67, BER_it_68, BER_it_69, BER_it_70, BER_it_71, BER_it_72, BER_it_73, BER_it_74, BER_it_75, BER_it_76, BER_it_77, BER_it_78, BER_it_79, BER_it_80, BER_it_81, BER_it_82, BER_it_83, BER_it_84, BER_it_85, BER_it_86, BER_it_87, BER_it_88, BER_it_89, BER_it_90, BER_it_91, BER_it_92, BER_it_93, BER_it_94, BER_it_95, BER_it_96, BER_it_97, BER_it_98, BER_it_99, BER_it_100, BER_it_101, BER_it_102, BER_it_103, BER_it_104, BER_it_105, BER_it_106, BER_it_107, BER_it_108, BER_it_109, BER_it_110, BER_it_111, BER_it_112, BER_it_113, BER_it_114, BER_it_115, BER_it_116, BER_it_117, BER_it_118, BER_it_119, BER_it_120, BER_it_121, BER_it_122, BER_it_123, BER_it_124, BER_it_125, BER_it_126, BER_it_127, BER_it_128, BER_it_129, BER_it_130, BER_it_131, BER_it_132, BER_it_133, BER_it_134, BER_it_135, BER_it_136, BER_it_137, BER_it_138, BER_it_139, BER_it_140, BER_it_141, BER_it_142, BER_it_143, BER_it_144, BER_it_145, BER_it_146, BER_it_147, BER_it_148, BER_it_149, BER_it_150, BER_it_151, BER_it_152, BER_it_153, BER_it_154, BER_it_155, BER_it_156, BER_it_157, BER_it_158, BER_it_159, BER_it_160, BER_it_161, BER_it_162, BER_it_163, BER_it_164, BER_it_165, BER_it_166, BER_it_167, BER_it_168, BER_it_169, BER_it_170, BER_it_171, BER_it_172, BER_it_173, BER_it_174, BER_it_175, BER_it_176, BER_it_177, BER_it_178, BER_it_179, BER_it_180, BER_it_181, BER_it_182, BER_it_183, BER_it_184, BER_it_185, BER_it_186, BER_it_187, BER_it_188, BER_it_189, BER_it_190, BER_it_191, BER_it_192, BER_it_193, BER_it_194, BER_it_195, BER_it_196, BER_it_197, BER_it_198, BER_it_199, 
1, 0.234742, 0.0856221, 0.07723, 0.0751761, 0.0742371, 0.0747066, 0.0747066, 0.0748826, 0.075, 0.0749413, 0.0750587, 0.075, 0.0750587, 0.0749413, 0.0748826, 0.0747653, 0.0747653, 0.0747653, 0.0747066, 0.0747066, 0.0747066, 0.0746479, 0.0746479, 0.0747066, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0746479, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 0.0745892, 
1.25, 0.209314, 0.0736264, 0.0685505, 0.0659864, 0.0660387, 0.0663004, 0.0660911, 0.0659341, 0.0660387, 0.0659864, 0.0659864, 0.0660387, 0.0661434, 0.0660911, 0.0660911, 0.0659864, 0.0660387, 0.0659864, 0.0660387, 0.0660387, 0.0660387, 0.0659864, 0.0660387, 0.0660387, 0.0660387, 0.0659864, 0.0659864, 0.0660387, 0.0660387, 0.0660387, 0.0659864, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 0.0660387, 
1.5, 0.184587, 0.0675127, 0.0621135, 0.0612829, 0.0601292, 0.0604061, 0.0601292, 0.0601754, 0.0605445, 0.0603599, 0.0601292, 0.0600369, 0.0599908, 0.0600369, 0.0600369, 0.0598985, 0.0599446, 0.0598985, 0.0599446, 0.0599908, 0.0598985, 0.0598985, 0.0598985, 0.0598985, 0.0598985, 0.0598985, 0.0598985, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 0.0598523, 
1.75, 0.164948, 0.0635464, 0.057567, 0.0547629, 0.0540206, 0.0542268, 0.0544742, 0.0541031, 0.0540619, 0.0541443, 0.0541856, 0.0542268, 0.0541031, 0.0541443, 0.0543093, 0.054268, 0.054268, 0.0542268, 0.0542268, 0.054268, 0.0542268, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541443, 0.0541443, 0.0541443, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 0.0541856, 
2, 0.134907, 0.0522428, 0.0464081, 0.0448229, 0.0444519, 0.0443508, 0.0441484, 0.0444182, 0.0440809, 0.0440809, 0.0440809, 0.0441147, 0.0440135, 0.0441484, 0.043946, 0.0441147, 0.0440135, 0.0441147, 0.043946, 0.0441484, 0.0439798, 0.0440472, 0.0439798, 0.0440472, 0.043946, 0.0440809, 0.0440472, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0440809, 0.0440809, 0.0441147, 0.0440809, 0.0440809, 0.0441147, 0.0440809, 0.0440809, 0.0441147, 0.0440809, 0.0440809, 0.0441147, 0.0440809, 0.0440809, 0.0441147, 0.0440809, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441147, 0.0441147, 0.0440809, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 0.0441484, 
2.25, 0.125431, 0.0484791, 0.0429288, 0.0416118, 0.0412669, 0.0413609, 0.0411728, 0.041016, 0.041016, 0.0409846, 0.0408906, 0.0408906, 0.0409219, 0.041016, 0.0409846, 0.0409846, 0.0410474, 0.0410474, 0.0409533, 0.0409533, 0.041016, 0.0409846, 0.0409533, 0.0409533, 0.0409219, 0.0409533, 0.0409533, 0.0409219, 0.0409533, 0.0409533, 0.0409219, 0.0409533, 0.0409533, 0.0409219, 0.0409533, 0.0409533, 0.0409219, 0.0409533, 0.0409533, 0.0409219, 0.0409533, 0.0409533, 0.0409219, 0.0409533, 0.0409533, 0.0409219, 0.0409533, 0.0409533, 0.0409219, 0.0409219, 0.0409219, 0.0408906, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409219, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 0.0409533, 
2.5, 0.10926, 0.0428025, 0.0383775, 0.0365474, 0.0358372, 0.0360557, 0.0358918, 0.0358372, 0.0357826, 0.0361104, 0.0361104, 0.036083, 0.0361377, 0.0361377, 0.036083, 0.0361104, 0.036083, 0.0360557, 0.0361104, 0.036083, 0.0360557, 0.0361104, 0.0361104, 0.036083, 0.036083, 0.0361377, 0.0361104, 0.0361377, 0.0361377, 0.0361104, 0.0361104, 0.0361377, 0.0361104, 0.0361104, 0.0361104, 0.036083, 0.036083, 0.0361104, 0.036083, 0.036083, 0.0361104, 0.036083, 0.036083, 0.0361104, 0.036083, 0.036083, 0.0361104, 0.036083, 0.036083, 0.0361104, 0.036083, 0.036083, 0.0361104, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.0360557, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 0.036083, 
2.75, 0.0894855, 0.0356152, 0.0310515, 0.029396, 0.0289485, 0.0288591, 0.0288814, 0.0289709, 0.0288591, 0.0287025, 0.0287919, 0.0289933, 0.0288591, 0.0288591, 0.0288814, 0.0288814, 0.0288143, 0.0288814, 0.0288367, 0.0288367, 0.0288143, 0.0288591, 0.0288143, 0.0288367, 0.0288143, 0.0288367, 0.0288367, 0.0288367, 0.0288143, 0.0288814, 0.0288591, 0.0288814, 0.0288591, 0.0288814, 0.0288591, 0.0288591, 0.0288367, 0.0288591, 0.0288367, 0.0288591, 0.0288367, 0.0288591, 0.0288591, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0289038, 0.0289038, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 0.0288814, 
3, 0.0796178, 0.0317078, 0.0269904, 0.0252787, 0.0249403, 0.0249602, 0.0250597, 0.0249403, 0.0251592, 0.0250796, 0.0251393, 0.0251791, 0.0251592, 0.025199, 0.0251791, 0.0252189, 0.0251592, 0.0251791, 0.0252189, 0.0251791, 0.025199, 0.0252389, 0.0252389, 0.0252189, 0.0252389, 0.0252189, 0.0252189, 0.0252588, 0.0252389, 0.0252588, 0.0252588, 0.0252389, 0.0252588, 0.0252588, 0.0252588, 0.0252588, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 0.0252787, 
