Extra_VNs,Payload_VNs
1,2
2,4
3,12
4,21
5,25
6,31
7,36
8,39
9,53
10,56
11,58
12,61
13,65
14,69
15,73
16,85
17,92
18,98
19,107
20,108
21,115
22,130
23,135
24,140
25,147
26,151
27,152
28,165
29,168
30,173
31,178
32,179
33,180
34,191
35,192
36,201
37,202
38,208
39,213
40,218
41,219
42,232
43,242
44,247
45,262
46,263
47,271
48,272
49,278
50,285
51,296
52,303
53,311
54,312
55,315
56,323
57,326
58,328
59,330
60,332
61,335
62,338
63,354
64,370
65,389
66,391
67,397
68,400
69,406
70,427
71,429
72,436
73,440
74,448
75,450
76,462
77,472
78,486
79,488
80,489
81,495
82,514
83,548
84,555
85,563
86,565
87,570
88,571
89,589
90,601
91,602
92,603
93,606
94,613
95,630
96,649
