SNR, Throughput
-3, 0
-2.75, 0.00105002
-2.5, 0.0136523
-2.25, 0.0557992
-2, 0.152548
-1.75, 0.289078
-1.5, 0.416159
-1.25, 0.47843
-1, 0.502142
-0.75, 0.506766
-0.5, 0.507498
-0.25, 0.507553
0, 0.507553
0.25, 0.507553
0.5, 0.507553
0.75, 0.507553
1, 0.507553
1.25, 0.507553
1.5, 0.507553
1.75, 0.507553
2, 0.507553
2.25, 0.507553
2.5, 0.507553
2.75, 0.507553
3, 0.507553
