Eb_over_N0, FER, BER
1, 0.137363, 0.0507555
1.25, 0.12966, 0.0474986
1.5, 0.106496, 0.0390664
1.75, 0.0932401, 0.0339705
2, 0.0794597, 0.0286717
2.25, 0.0615858, 0.0225609
2.5, 0.0496833, 0.0179025
