Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,975,457
2,563,462
3,699,497
4,66,506
5,829,513
6,768,540
7,148,702
8,547,731
9,348,817
10,569,825
11,418,837
12,435,857
13,207,858
14,279,906
15,50,950
