SNR,FER,BER
0,0.39509803921568626,0.11245098039215687
1,0.25961538461538464,0.07153846153846154
2,0.16791666666666666,0.04754166666666667
3,0.078125,0.0223828125
4,0.037243947858473,0.01074487895716946
5,0.01358695652173913,0.003814538043478261
6,0.0032803017877644745,0.0009119238969985239
